book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
15,Ezra,1,1,Ezra 1:1,1,וּ,W,conj.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,2,בִ,B,prep.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,3,שְׁנַ֣ת,CNH/,subs.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,4,אַחַ֗ת,>XD/,subs.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,5,לְ,L,prep.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,6,כֹ֨ורֶשׁ֙,KWRC/,nmpr.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,7,מֶ֣לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,8,פָּרַ֔ס,PRS=/,nmpr.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,9,לִ,L,prep.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,10,כְלֹ֥ות,KLH[,verb.qal.infc,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,11,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,12,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,13,מִ,MN,prep.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,14,פִּ֣י,PH/,subs.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,15,יִרְמְיָ֑ה,JRMJH/,nmpr.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,16,הֵעִ֣יר,<WR[,verb.hif.perf,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,17,יְהוָ֗ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,18,אֶת־,>T,prep.NA.NA,,Leningrad,MT
15,Ezra,1,1,Ezra 1:1,19,ר֨וּחַ֙,RWX/,subs.NA.NA,,Leningrad,MT
