book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
1,Genesis,1,1,Genesis 1:1,1,בְּ,B,prep.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,2,רֵאשִׁ֖ית,R>CJT/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,3,בָּרָ֣א,BR>[,verb.qal.perf,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,4,אֱלֹהִ֑ים,>LHJM/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,5,אֵ֥ת,>T,prep.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,7,שָּׁמַ֖יִם,CMJM/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,8,וְ,W,conj.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,9,אֵ֥ת,>T,prep.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,10,הָ,H,art.NA.NA,,Leningrad,MT
1,Genesis,1,1,Genesis 1:1,11,אָֽרֶץ׃,>RY/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,1,וְ,W,conj.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,2,הָ,H,art.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,3,אָ֗רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,4,הָיְתָ֥ה,HJH[,verb.qal.perf,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,5,תֹ֨הוּ֙,THW/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,6,וָ,W,conj.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,7,בֹ֔הוּ,BHW/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,8,וְ,W,conj.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,9,חֹ֖שֶׁךְ,XCK/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,10,עַל־,<L,prep.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,11,פְּנֵ֣י,PNH/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,12,תְהֹ֑ום,THWM/,subs.NA.NA,,Leningrad,MT
1,Genesis,1,2,Genesis 1:2,13,וְ,W,conj.NA.NA,,Leningrad,MT
