book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
35,Habakkuk,1,1,Habakkuk 1:1,1,הַ,H,art.NA.NA,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,2,מַּשָּׂא֙,MF>=/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,3,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,4,חָזָ֔ה,XZH[,verb.qal.perf,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,5,חֲבַקּ֖וּק,XBQWQ/,nmpr.NA.NA,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
35,Habakkuk,1,1,Habakkuk 1:1,7,נָּבִֽיא׃,NBJ>/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,1,עַד־,<D,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,2,אָ֧נָה,>N,inrg.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,3,יְהוָ֛ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,4,שִׁוַּ֖עְתִּי,CW<[,verb.piel.perf,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,5,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,6,לֹ֣א,L>,nega.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,7,תִשְׁמָ֑ע,CM<[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,8,אֶזְעַ֥ק,Z<Q[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,9,אֵלֶ֛יךָ,>L,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,10,חָמָ֖ס,XMS/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,11,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,12,לֹ֥א,L>,nega.NA.NA,,Leningrad,MT
35,Habakkuk,1,2,Habakkuk 1:2,13,תֹושִֽׁיעַ׃,JC<[,verb.hif.impf,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,1,לָ֣מָּה,LMH,inrg.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,2,תַרְאֵ֤נִי,R>H[,verb.hif.impf,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,3,אָ֨וֶן֙,>WN=/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,4,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,5,עָמָ֣ל,<ML/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,6,תַּבִּ֔יט,NBV[,verb.hif.impf,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,7,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,8,שֹׁ֥ד,CD/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,9,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,10,חָמָ֖ס,XMS/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,11,לְ,L,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,12,נֶגְדִּ֑י,NGD/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,13,וַ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,14,יְהִ֧י,HJH[,verb.qal.wayq,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,15,רִ֦יב,RJB/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,16,וּ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,17,מָדֹ֖ון,MDWN/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,3,Habakkuk 1:3,18,יִשָּֽׂא׃,NF>[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,1,עַל־,<L,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,2,כֵּן֙,KN,advb.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,3,תָּפ֣וּג,PWG[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,4,תֹּורָ֔ה,TWRH/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,5,וְ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,6,לֹֽא־,L>,nega.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,7,יֵצֵ֥א,JY>[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,8,לָ,L,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,9,נֶ֖צַח,NYX/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,10,מִשְׁפָּ֑ט,MCPV/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,11,כִּ֤י,KJ,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,12,רָשָׁע֙,RC</,adjv.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,13,מַכְתִּ֣יר,KTR[,verb.hif.ptca,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,14,אֶת־,>T,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,15,הַ,H,art.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,16,צַּדִּ֔יק,YDJQ/,adjv.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,17,עַל־,<L,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,18,כֵּ֛ן,KN,advb.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,19,יֵצֵ֥א,JY>[,verb.qal.impf,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,20,מִשְׁפָּ֖ט,MCPV/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,4,Habakkuk 1:4,21,מְעֻקָּֽל׃,<QL[,verb.pual.ptcp,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,1,רְא֤וּ,R>H[,verb.qal.impv,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,2,בַ,B,prep.NA.NA,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,3,,H,art.NA.NA,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,4,גֹּויִם֙,GWJ/,subs.NA.NA,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,5,וְֽ,W,conj.NA.NA,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,6,הַבִּ֔יטוּ,NBV[,verb.hif.impv,,Leningrad,MT
35,Habakkuk,1,5,Habakkuk 1:5,7,וְ,W,conj.NA.NA,,Leningrad,MT
