book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
37,Haggai,1,1,Haggai 1:1,1,בִּ,B,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,2,שְׁנַ֤ת,CNH/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,3,שְׁתַּ֨יִם֙,CNJM/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,4,לְ,L,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,5,דָרְיָ֣וֶשׁ,DRJWC/,nmpr.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,7,מֶּ֔לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,8,בַּ,B,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,9,,H,art.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,10,חֹ֨דֶשׁ֙,XDC=/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,11,הַ,H,art.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,12,שִּׁשִּׁ֔י,CCJ/,adjv.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,13,בְּ,B,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,14,יֹ֥ום,JWM/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,15,אֶחָ֖ד,>XD/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,16,לַ,L,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,17,,H,art.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,18,חֹ֑דֶשׁ,XDC=/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,19,הָיָ֨ה,HJH[,verb.qal.perf,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,20,דְבַר־,DBR/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,21,יְהוָ֜ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,22,בְּ,B,prep.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,23,יַד־,JD/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,24,חַגַּ֣י,XGJ=/,nmpr.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,25,הַ,H,art.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,26,נָּבִ֗יא,NBJ>/,subs.NA.NA,,Leningrad,MT
37,Haggai,1,1,Haggai 1:1,27,אֶל־,>L,prep.NA.NA,,Leningrad,MT
