book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
28,Hosea,1,1,Hosea 1:1,1,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,2,יְהוָ֣ה׀,JHWH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,3,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,4,הָיָ֗ה,HJH[,verb.qal.perf,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,6,הֹושֵׁ֨עַ֙,HWC</,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,7,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,8,בְּאֵרִ֔י,B>RJ/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,9,בִּ,B,prep.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,10,ימֵ֨י,JWM/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,11,עֻזִּיָּ֥ה,<ZJH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,12,יֹותָ֛ם,JWTM/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,13,אָחָ֥ז,>XZ=/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,14,יְחִזְקִיָּ֖ה,JXZQJH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,15,מַלְכֵ֣י,MLK/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,16,יְהוּדָ֑ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,17,וּ,W,conj.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,18,בִ,B,prep.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,19,ימֵ֛י,JWM/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,20,יָרָבְעָ֥ם,JRB<M/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,21,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,22,יֹואָ֖שׁ,JW>C/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,23,מֶ֥לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,1,Hosea 1:1,24,יִשְׂרָאֵֽל׃,JFR>L/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,1,תְּחִלַּ֥ת,TXLH/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,2,דִּבֶּר־,DBR[,verb.piel.perf,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,3,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,4,בְּ,B,prep.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,5,הֹושֵׁ֑עַ פ,HWC</,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,6,וַ,W,conj.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,7,יֹּ֨אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,8,יְהוָ֜ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,9,אֶל־,>L,prep.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,10,הֹושֵׁ֗עַ,HWC</,nmpr.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,11,לֵ֣ךְ,HLK[,verb.qal.impv,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,12,קַח־,LQX[,verb.qal.impv,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,13,לְךָ֞,L,prep.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,14,אֵ֤שֶׁת,>CH/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,15,זְנוּנִים֙,ZNWNJM/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,16,וְ,W,conj.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,17,יַלְדֵ֣י,JLD/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,18,זְנוּנִ֔ים,ZNWNJM/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,19,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,20,זָנֹ֤ה,ZNH[,verb.qal.infa,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,21,תִזְנֶה֙,ZNH[,verb.qal.impf,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,22,הָ,H,art.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,23,אָ֔רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
28,Hosea,1,2,Hosea 1:2,24,מֵֽ,MN,prep.NA.NA,,Leningrad,MT
