book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,1,1,Isaiah 1:1,1,חֲזֹון֙,XZWN/,subs.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,2,יְשַֽׁעְיָ֣הוּ,JC<JHW/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,3,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,4,אָמֹ֔וץ,>MWY/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,5,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,6,חָזָ֔ה,XZH[,verb.qal.perf,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,7,עַל־,<L,prep.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,8,יְהוּדָ֖ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,9,וִ,W,conj.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,10,ירוּשָׁלִָ֑ם,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,11,בִּ,B,prep.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,12,ימֵ֨י,JWM/,subs.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,13,עֻזִּיָּ֧הוּ,<ZJHW/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,14,יֹותָ֛ם,JWTM/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,15,אָחָ֥ז,>XZ=/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,16,יְחִזְקִיָּ֖הוּ,JXZQJHW/,nmpr.NA.NA,,Leningrad,MT
23,Isaiah,1,1,Isaiah 1:1,17,מַלְכֵ֥י,MLK/,subs.NA.NA,,Leningrad,MT
