book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
24,Jeremiah,1,1,Jeremiah 1:1,1,דִּבְרֵ֥י,DBR/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,2,יִרְמְיָ֖הוּ,JRMJHW/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,3,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,4,חִלְקִיָּ֑הוּ,XLQJHW/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,5,מִן־,MN,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,7,כֹּֽהֲנִים֙,KHN/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,8,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,9,בַּ,B,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,10,עֲנָתֹ֔ות,<NTWT/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,11,בְּ,B,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,12,אֶ֖רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,1,Jeremiah 1:1,13,בִּנְיָמִֽן׃,BNJMN/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,1,אֲשֶׁ֨ר,>CR,conj.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,2,הָיָ֤ה,HJH[,verb.qal.perf,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,3,דְבַר־,DBR/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,4,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,5,אֵלָ֔יו,>L,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,6,בִּ,B,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,7,ימֵ֛י,JWM/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,8,יֹאשִׁיָּ֥הוּ,J>CJHW/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,9,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,10,אָמֹ֖ון,>MWN==/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,11,מֶ֣לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,12,יְהוּדָ֑ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,13,בִּ,B,prep.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,14,שְׁלֹשׁ־,CLC/,subs.NA.NA,,Leningrad,MT
24,Jeremiah,1,2,Jeremiah 1:2,15,עֶשְׂרֵ֥ה,<FRH/,subs.NA.NA,,Leningrad,MT
