book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
18,Job,1,1,Job 1:1,1,אִ֛ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,2,הָיָ֥ה,HJH[,verb.qal.perf,,Leningrad,MT
18,Job,1,1,Job 1:1,3,בְ,B,prep.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,4,אֶֽרֶץ־,>RY/,subs.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,5,ע֖וּץ,<WY=/,nmpr.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,6,אִיֹּ֣וב,>JWB/,nmpr.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,7,שְׁמֹ֑ו,CM/,subs.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,8,וְ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,9,הָיָ֣ה׀,HJH[,verb.qal.perf,,Leningrad,MT
18,Job,1,1,Job 1:1,10,הָ,H,art.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,11,אִ֣ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,12,הַ,H,art.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,13,ה֗וּא,HW>,prps.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,14,תָּ֧ם,TM/,adjv.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,15,וְ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,16,יָשָׁ֛ר,JCR/,adjv.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,17,וִ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,18,ירֵ֥א,JR>/,adjv.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,19,אֱלֹהִ֖ים,>LHJM/,subs.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,20,וְ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,21,סָ֥ר,SWR[,verb.qal.ptca,,Leningrad,MT
18,Job,1,1,Job 1:1,22,מֵ,MN,prep.NA.NA,,Leningrad,MT
18,Job,1,1,Job 1:1,23,רָֽע׃,R</,adjv.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,2,יִּוָּ֥לְדוּ,JLD[,verb.nif.wayq,,Leningrad,MT
18,Job,1,2,Job 1:2,3,לֹ֛ו,L,prep.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,4,שִׁבְעָ֥ה,CB</,subs.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,5,בָנִ֖ים,BN/,subs.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,6,וְ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,7,שָׁלֹ֥ושׁ,CLC/,subs.NA.NA,,Leningrad,MT
18,Job,1,2,Job 1:2,8,בָּנֹֽות׃,BT/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,2,יְהִ֣י,HJH[,verb.qal.wayq,,Leningrad,MT
18,Job,1,3,Job 1:3,3,מִ֠קְנֵהוּ,MQNH/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,4,שִֽׁבְעַ֨ת,CB</,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,5,אַלְפֵי־,>LP=/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,6,צֹ֜אן,Y>N/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,7,וּ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,8,שְׁלֹ֧שֶׁת,CLC/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,9,אַלְפֵ֣י,>LP=/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,10,גְמַלִּ֗ים,GML/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,11,וַ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,12,חֲמֵ֨שׁ,XMC/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,13,מֵאֹ֤ות,M>H/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,14,צֶֽמֶד־,YMD/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,15,בָּקָר֙,BQR/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,16,וַ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,17,חֲמֵ֣שׁ,XMC/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,18,מֵאֹ֣ות,M>H/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,19,אֲתֹונֹ֔ות,>TWN/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,20,וַ,W,conj.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,21,עֲבֻדָּ֖ה,<BDH=/,subs.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,22,רַבָּ֣ה,RB/,adjv.NA.NA,,Leningrad,MT
18,Job,1,3,Job 1:3,23,מְאֹ֑ד,M>D/,subs.NA.NA,,Leningrad,MT
