book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
29,Joel,1,1,Joel 1:1,1,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,2,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,3,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,4,הָיָ֔ה,HJH[,verb.qal.perf,,Leningrad,MT
29,Joel,1,1,Joel 1:1,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,6,יֹואֵ֖ל,JW>L/,nmpr.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,7,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,1,Joel 1:1,8,פְּתוּאֵֽל׃,PTW>L/,nmpr.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,1,שִׁמְעוּ־,CM<[,verb.qal.impv,,Leningrad,MT
29,Joel,1,2,Joel 1:2,2,זֹאת֙,Z>T,prde.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,3,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,4,זְּקֵנִ֔ים,ZQN/,adjv.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,5,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,6,הַֽאֲזִ֔ינוּ,>ZN[,verb.hif.impv,,Leningrad,MT
29,Joel,1,2,Joel 1:2,7,כֹּ֖ל,KL/,subs.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,8,יֹושְׁבֵ֣י,JCB[,verb.qal.ptca,,Leningrad,MT
29,Joel,1,2,Joel 1:2,9,הָ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,10,אָ֑רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,11,הֶ,H=,inrg.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,12,הָ֤יְתָה,HJH[,verb.qal.perf,,Leningrad,MT
29,Joel,1,2,Joel 1:2,13,זֹּאת֙,Z>T,prde.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,14,בִּֽ,B,prep.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,15,ימֵיכֶ֔ם,JWM/,subs.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,16,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,17,אִ֖ם,>M,conj.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,18,בִּ,B,prep.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,19,ימֵ֥י,JWM/,subs.NA.NA,,Leningrad,MT
29,Joel,1,2,Joel 1:2,20,אֲבֹֽתֵיכֶֽם׃,>B/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,1,עָלֶ֖יהָ,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,2,לִ,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,3,בְנֵיכֶ֣ם,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,4,סַפֵּ֑רוּ,SPR[,verb.piel.impv,,Leningrad,MT
29,Joel,1,3,Joel 1:3,5,וּ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,6,בְנֵיכֶם֙,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,7,לִ,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,8,בְנֵיהֶ֔ם,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,9,וּ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,10,בְנֵיהֶ֖ם,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,11,לְ,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,12,דֹ֥ור,DWR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,3,Joel 1:3,13,אַחֵֽר׃,>XR=/,adjv.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,1,יֶ֤תֶר,JTR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,2,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,3,גָּזָם֙,GZM/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,4,אָכַ֣ל,>KL[,verb.qal.perf,,Leningrad,MT
29,Joel,1,4,Joel 1:4,5,הָֽ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,6,אַרְבֶּ֔ה,>RBH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,7,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,8,יֶ֥תֶר,JTR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,9,הָ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,10,אַרְבֶּ֖ה,>RBH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,11,אָכַ֣ל,>KL[,verb.qal.perf,,Leningrad,MT
29,Joel,1,4,Joel 1:4,12,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,13,יָּ֑לֶק,JLQ/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,14,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,15,יֶ֣תֶר,JTR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,16,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,17,יֶּ֔לֶק,JLQ/,subs.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,18,אָכַ֖ל,>KL[,verb.qal.perf,,Leningrad,MT
29,Joel,1,4,Joel 1:4,19,הֶ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,4,Joel 1:4,20,חָסִֽיל׃,XSJL/,subs.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,1,הָקִ֤יצוּ,QJY[,verb.hif.impv,,Leningrad,MT
29,Joel,1,5,Joel 1:5,2,שִׁכֹּורִים֙,CKWR/,adjv.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,3,וּ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,4,בְכ֔וּ,BKH[,verb.qal.impv,,Leningrad,MT
29,Joel,1,5,Joel 1:5,5,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,6,הֵילִ֖לוּ,JLL[,verb.hif.impv,,Leningrad,MT
29,Joel,1,5,Joel 1:5,7,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,8,שֹׁ֣תֵי,CTH[,verb.qal.ptca,,Leningrad,MT
29,Joel,1,5,Joel 1:5,9,יָ֑יִן,JJN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,10,עַל־,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,11,עָסִ֕יס,<SJS/,subs.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,12,כִּ֥י,KJ,conj.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,13,נִכְרַ֖ת,KRT[,verb.nif.perf,,Leningrad,MT
29,Joel,1,5,Joel 1:5,14,מִ,MN,prep.NA.NA,,Leningrad,MT
29,Joel,1,5,Joel 1:5,15,פִּיכֶֽם׃,PH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,1,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,2,גֹוי֙,GWJ/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,3,עָלָ֣ה,<LH[,verb.qal.perf,,Leningrad,MT
29,Joel,1,6,Joel 1:6,4,עַל־,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,5,אַרְצִ֔י,>RY/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,6,עָצ֖וּם,<YWM/,adjv.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,7,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,8,אֵ֣ין,>JN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,9,מִסְפָּ֑ר,MSPR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,10,שִׁנָּיו֙,CN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,11,שִׁנֵּ֣י,CN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,12,אַרְיֵ֔ה,>RJH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,13,וּֽ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,14,מְתַלְּעֹ֥ות,MTL<WT/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,15,לָבִ֖יא,LBJ>/,subs.NA.NA,,Leningrad,MT
29,Joel,1,6,Joel 1:6,16,לֹֽו׃,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,1,שָׂ֤ם,FJM[,verb.qal.perf,,Leningrad,MT
29,Joel,1,7,Joel 1:7,2,גַּפְנִי֙,GPN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,3,לְ,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,4,שַׁמָּ֔ה,CMH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,5,וּ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,6,תְאֵנָתִ֖י,T>NH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,7,לִ,L,prep.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,8,קְצָפָ֑ה,QYPH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,9,חָשֹׂ֤ף,XFP[,verb.qal.infa,,Leningrad,MT
29,Joel,1,7,Joel 1:7,10,חֲשָׂפָהּ֙,XFP[,verb.qal.perf,,Leningrad,MT
29,Joel,1,7,Joel 1:7,11,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,7,Joel 1:7,12,הִשְׁלִ֔יךְ,CLK[,verb.hif.perf,,Leningrad,MT
29,Joel,1,7,Joel 1:7,13,הִלְבִּ֖ינוּ,LBN[,verb.hif.perf,,Leningrad,MT
29,Joel,1,7,Joel 1:7,14,שָׂרִיגֶֽיהָ׃,FRJG/,subs.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,1,אֱלִ֕י,>LH==[,verb.qal.impv,,Leningrad,MT
29,Joel,1,8,Joel 1:8,2,כִּ,K,prep.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,3,בְתוּלָ֥ה,BTWLH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,4,חֲגֻֽרַת־,XGR[,verb.qal.ptcp,,Leningrad,MT
29,Joel,1,8,Joel 1:8,5,שַׂ֖ק,FQ/,subs.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,6,עַל־,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,7,בַּ֥עַל,B<L/,subs.NA.NA,,Leningrad,MT
29,Joel,1,8,Joel 1:8,8,נְעוּרֶֽיהָ׃,N<WRJM/,subs.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,1,הָכְרַ֥ת,KRT[,verb.hof.perf,,Leningrad,MT
29,Joel,1,9,Joel 1:9,2,מִנְחָ֛ה,MNXH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,3,וָ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,4,נֶ֖סֶךְ,NSK/,subs.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,5,מִ,MN,prep.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,6,בֵּ֣ית,BJT/,subs.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,7,יְהוָ֑ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,8,אָֽבְלוּ֙,>BL[,verb.qal.perf,,Leningrad,MT
29,Joel,1,9,Joel 1:9,9,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,10,כֹּ֣הֲנִ֔ים,KHN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,9,Joel 1:9,11,מְשָׁרְתֵ֖י,CRT[,verb.piel.ptca,,Leningrad,MT
29,Joel,1,9,Joel 1:9,12,יְהוָֽה׃,JHWH/,nmpr.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,1,שֻׁדַּ֣ד,CDD[,verb.pual.perf,,Leningrad,MT
29,Joel,1,10,Joel 1:10,2,שָׂדֶ֔ה,FDH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,3,אָבְלָ֖ה,>BL[,verb.qal.perf,,Leningrad,MT
29,Joel,1,10,Joel 1:10,4,אֲדָמָ֑ה,>DMH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,5,כִּ֚י,KJ,conj.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,6,שֻׁדַּ֣ד,CDD[,verb.pual.perf,,Leningrad,MT
29,Joel,1,10,Joel 1:10,7,דָּגָ֔ן,DGN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,8,הֹובִ֥ישׁ,JBC[,verb.hif.perf,,Leningrad,MT
29,Joel,1,10,Joel 1:10,9,תִּירֹ֖ושׁ,TJRWC/,subs.NA.NA,,Leningrad,MT
29,Joel,1,10,Joel 1:10,10,אֻמְלַ֥ל,>ML[,verb.pual.perf,,Leningrad,MT
29,Joel,1,10,Joel 1:10,11,יִצְהָֽר׃,JYHR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,1,הֹבִ֣ישׁוּ,JBC[,verb.hif.perf,,Leningrad,MT
29,Joel,1,11,Joel 1:11,2,אִכָּרִ֗ים,>KR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,3,הֵילִ֨ילוּ֙,JLL[,verb.hif.perf,,Leningrad,MT
29,Joel,1,11,Joel 1:11,4,כֹּֽרְמִ֔ים,KRM=/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,5,עַל־,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,6,חִטָּ֖ה,XVH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,7,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,8,עַל־,<L,prep.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,9,שְׂעֹרָ֑ה,F<RH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,10,כִּ֥י,KJ,conj.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,11,אָבַ֖ד,>BD[,verb.qal.perf,,Leningrad,MT
29,Joel,1,11,Joel 1:11,12,קְצִ֥יר,QYJR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,11,Joel 1:11,13,שָׂדֶֽה׃,FDH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,1,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,2,גֶּ֣פֶן,GPN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,3,הֹובִ֔ישָׁה,JBC[,verb.hif.perf,,Leningrad,MT
29,Joel,1,12,Joel 1:12,4,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,5,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,6,תְּאֵנָ֖ה,T>NH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,7,אֻמְלָ֑לָה,>ML[,verb.pual.perf,,Leningrad,MT
29,Joel,1,12,Joel 1:12,8,רִמֹּ֞ון,RMWN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,9,גַּם־,GM,advb.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,10,תָּמָ֣ר,TMR/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,11,וְ,W,conj.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,12,תַפּ֗וּחַ,TPWX/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,13,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,14,עֲצֵ֤י,<Y/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,15,הַ,H,art.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,16,שָּׂדֶה֙,FDH/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,17,יָבֵ֔שׁוּ,JBC[,verb.qal.perf,,Leningrad,MT
29,Joel,1,12,Joel 1:12,18,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,19,הֹבִ֥ישׁ,JBC[,verb.hif.perf,,Leningrad,MT
29,Joel,1,12,Joel 1:12,20,שָׂשֹׂ֖ון,FFWN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,21,מִן־,MN,prep.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,22,בְּנֵ֥י,BN/,subs.NA.NA,,Leningrad,MT
29,Joel,1,12,Joel 1:12,23,אָדָֽם׃ ס,>DM/,subs.NA.NA,,Leningrad,MT
