book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
32,Jonah,1,1,Jonah 1:1,1,וַֽ,W,conj.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,2,יְהִי֙,HJH[,verb.qal.wayq,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,3,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,4,יְהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,6,יֹונָ֥ה,JWNH=/,nmpr.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,7,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,8,אֲמִתַּ֖י,>MTJ/,nmpr.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,9,לֵ,L,prep.NA.NA,,Leningrad,MT
32,Jonah,1,1,Jonah 1:1,10,אמֹֽר׃,>MR[,verb.qal.infc,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,1,ק֠וּם,QWM[,verb.qal.impv,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,2,לֵ֧ךְ,HLK[,verb.qal.impv,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,3,אֶל־,>L,prep.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,4,נִֽינְוֵ֛ה,NJNWH/,nmpr.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,5,הָ,H,art.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,6,עִ֥יר,<JR/,subs.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,7,הַ,H,art.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,8,גְּדֹולָ֖ה,GDWL/,adjv.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,9,וּ,W,conj.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,10,קְרָ֣א,QR>[,verb.qal.impv,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,11,עָלֶ֑יהָ,<L,prep.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,12,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,13,עָלְתָ֥ה,<LH[,verb.qal.perf,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,14,רָעָתָ֖ם,R<H/,subs.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,15,לְ,L,prep.NA.NA,,Leningrad,MT
32,Jonah,1,2,Jonah 1:2,16,פָנָֽי׃,PNH/,subs.NA.NA,,Leningrad,MT
32,Jonah,1,3,Jonah 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
32,Jonah,1,3,Jonah 1:3,2,יָּ֤קָם,QWM[,verb.qal.wayq,,Leningrad,MT
