book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
6,Joshua,1,1,Joshua 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,2,יְהִ֗י,HJH[,verb.qal.wayq,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,3,אַחֲרֵ֛י,>XR/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,4,מֹ֥ות,MWT/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,5,מֹשֶׁ֖ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,6,עֶ֣בֶד,<BD/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,7,יְהוָ֑ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,8,וַ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,9,יֹּ֤אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,10,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,11,אֶל־,>L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,12,יְהֹושֻׁ֣עַ,JHWC</,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,13,בִּן־,BN/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,14,נ֔וּן,NWN/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,15,מְשָׁרֵ֥ת,CRT[,verb.piel.ptca,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,16,מֹשֶׁ֖ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,17,לֵ,L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,1,Joshua 1:1,18,אמֹֽר׃,>MR[,verb.qal.infc,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,1,מֹשֶׁ֥ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,2,עַבְדִּ֖י,<BD/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,3,מֵ֑ת,MWT[,verb.qal.perf,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,4,וְ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,5,עַתָּה֩,<TH,advb.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,6,ק֨וּם,QWM[,verb.qal.impv,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,7,עֲבֹ֜ר,<BR[,verb.qal.impv,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,8,אֶת־,>T,prep.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,9,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,10,יַּרְדֵּ֣ן,JRDN/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,11,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,12,זֶּ֗ה,ZH,prde.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,13,אַתָּה֙,>TH,prps.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,14,וְ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,15,כָל־,KL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,16,הָ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,17,עָ֣ם,<M/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,18,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,19,זֶּ֔ה,ZH,prde.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,20,אֶל־,>L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,21,הָ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,22,אָ֕רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,23,אֲשֶׁ֧ר,>CR,conj.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,24,אָנֹכִ֛י,>NKJ,prps.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,25,נֹתֵ֥ן,NTN[,verb.qal.ptca,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,26,לָהֶ֖ם,L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,27,לִ,L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,28,בְנֵ֥י,BN/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,2,Joshua 1:2,29,יִשְׂרָאֵֽל׃,JFR>L/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,1,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,2,מָקֹ֗ום,MQWM/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,3,אֲשֶׁ֨ר,>CR,conj.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,4,תִּדְרֹ֧ךְ,DRK[,verb.qal.impf,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,5,כַּֽף־,KP/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,6,רַגְלְכֶ֛ם,RGL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,7,בֹּ֖ו,B,prep.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,8,לָכֶ֣ם,L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,9,נְתַתִּ֑יו,NTN[,verb.qal.perf,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,10,כַּ,K,prep.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,11,אֲשֶׁ֥ר,>CR,conj.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,12,דִּבַּ֖רְתִּי,DBR[,verb.piel.perf,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,13,אֶל־,>L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,3,Joshua 1:3,14,מֹשֶֽׁה׃,MCH=/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,1,מֵ,MN,prep.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,2,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,3,מִּדְבָּר֩,MDBR/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,4,וְ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,5,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,6,לְּבָנֹ֨ון,LBNWN/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,7,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,8,זֶּ֜ה,ZH,prde.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,9,וְֽ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,10,עַד־,<D,prep.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,11,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,12,נָּהָ֧ר,NHR/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,13,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,14,גָּדֹ֣ול,GDWL/,adjv.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,15,נְהַר־,NHR/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,16,פְּרָ֗ת,PRT/,nmpr.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,17,כֹּ֚ל,KL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,18,אֶ֣רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,19,הַֽ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,20,חִתִּ֔ים,XTJ/,adjv.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,21,וְ,W,conj.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,22,עַד־,<D,prep.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,23,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,24,יָּ֥ם,JM/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,25,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,26,גָּדֹ֖ול,GDWL/,adjv.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,27,מְבֹ֣וא,MBW>/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,28,הַ,H,art.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,29,שָּׁ֑מֶשׁ,CMC/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,30,יִֽהְיֶ֖ה,HJH[,verb.qal.impf,,Leningrad,MT
6,Joshua,1,4,Joshua 1:4,31,גְּבוּלְכֶֽם׃,GBWL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,1,לֹֽא־,L>,nega.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,2,יִתְיַצֵּ֥ב,JYB[,verb.hit.impf,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,3,אִישׁ֙,>JC/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,4,לְ,L,prep.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,5,פָנֶ֔יךָ,PNH/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,6,כֹּ֖ל,KL/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,7,יְמֵ֣י,JWM/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,8,חַיֶּ֑יךָ,XJJM/,subs.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,9,כַּֽ,K,prep.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,10,אֲשֶׁ֨ר,>CR,conj.NA.NA,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,11,הָיִ֤יתִי,HJH[,verb.qal.perf,,Leningrad,MT
6,Joshua,1,5,Joshua 1:5,12,עִם־,<M,prep.NA.NA,,Leningrad,MT
