book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
7,Judges,1,1,Judges 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,2,יְהִ֗י,HJH[,verb.qal.wayq,,Leningrad,MT
7,Judges,1,1,Judges 1:1,3,אַחֲרֵי֙,>XR/,subs.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,4,מֹ֣ות,MWT/,subs.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,5,יְהֹושֻׁ֔עַ,JHWC</,nmpr.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,6,וַֽ,W,conj.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,7,יִּשְׁאֲלוּ֙,C>L[,verb.qal.wayq,,Leningrad,MT
7,Judges,1,1,Judges 1:1,8,בְּנֵ֣י,BN/,subs.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,9,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,10,בַּ,B,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,11,יהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,12,לֵ,L,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,13,אמֹ֑ר,>MR[,verb.qal.infc,,Leningrad,MT
7,Judges,1,1,Judges 1:1,14,מִ֣י,MJ,prin.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,15,יַעֲלֶה־,<LH[,verb.qal.impf,,Leningrad,MT
7,Judges,1,1,Judges 1:1,16,לָּ֧נוּ,L,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,17,אֶל־,>L,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,18,הַֽ,H,art.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,19,כְּנַעֲנִ֛י,KN<NJ/,adjv.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,20,בַּ,B,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,21,,H,art.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,22,תְּחִלָּ֖ה,TXLH/,subs.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,23,לְ,L,prep.NA.NA,,Leningrad,MT
7,Judges,1,1,Judges 1:1,24,הִלָּ֥חֶם,LXM[,verb.nif.infc,,Leningrad,MT
7,Judges,1,1,Judges 1:1,25,בֹּֽו׃,B,prep.NA.NA,,Leningrad,MT
7,Judges,1,2,Judges 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
7,Judges,1,2,Judges 1:2,2,יֹּ֣אמֶר,>MR[,verb.qal.wayq,,Leningrad,MT
7,Judges,1,2,Judges 1:2,3,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
7,Judges,1,2,Judges 1:2,4,יְהוּדָ֣ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
7,Judges,1,2,Judges 1:2,5,יַעֲלֶ֑ה,<LH[,verb.qal.impf,,Leningrad,MT
