book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
25,Lamentations,1,1,Lamentations 1:1,1,אֵיכָ֣ה׀,>JKH,inrg.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,2,יָשְׁבָ֣ה,JCB[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,3,בָדָ֗ד,BDD/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,4,הָ,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,5,עִיר֙,<JR/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,6,רַבָּ֣תִי,RB/,adjv.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,7,עָ֔ם,<M/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,8,הָיְתָ֖ה,HJH[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,9,כְּ,K,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,10,אַלְמָנָ֑ה,>LMNH/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,11,רַבָּ֣תִי,RB/,adjv.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,12,בַ,B,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,13,,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,14,גֹּויִ֗ם,GWJ/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,15,שָׂרָ֨תִי֙,FRH/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,16,בַּ,B,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,17,,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,18,מְּדִינֹ֔ות,MDJNH/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,19,הָיְתָ֖ה,HJH[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,20,לָ,L,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,1,Lamentations 1:1,21,מַֽס׃ ס,MS/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,1,בָּכֹ֨ו,BKH[,verb.qal.infa,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,2,תִבְכֶּ֜ה,BKH[,verb.qal.impf,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,3,בַּ,B,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,4,,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,5,לַּ֗יְלָה,LJLH/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,6,וְ,W,conj.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,7,דִמְעָתָהּ֙,DM<H/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,8,עַ֣ל,<L,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,9,לֶֽחֱיָ֔הּ,LXJ/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,10,אֵֽין־,>JN/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,11,לָ֥הּ,L,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,12,מְנַחֵ֖ם,NXM[,verb.piel.ptca,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,13,מִ,MN,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,14,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,15,אֹהֲבֶ֑יהָ,>HB[,verb.qal.ptca,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,16,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,17,רֵעֶ֨יהָ֙,R<=/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,18,בָּ֣גְדוּ,BGD[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,19,בָ֔הּ,B,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,20,הָ֥יוּ,HJH[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,21,לָ֖הּ,L,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,22,לְ,L,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,2,Lamentations 1:2,23,אֹיְבִֽים׃ ס,>JB[,verb.qal.ptca,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,1,גָּֽלְתָ֨ה,GLH[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,2,יְהוּדָ֤ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,3,מֵ,MN,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,4,עֹ֨נִי֙,<NJ=/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,5,וּ,W,conj.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,6,מֵ,MN,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,7,רֹ֣ב,RB=/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,8,עֲבֹדָ֔ה,<BDH/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,9,הִ֚יא,HJ>,prps.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,10,יָשְׁבָ֣ה,JCB[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,11,בַ,B,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,12,,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,13,גֹּויִ֔ם,GWJ/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,14,לֹ֥א,L>,nega.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,15,מָצְאָ֖ה,MY>[,verb.qal.perf,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,16,מָנֹ֑וחַ,MNWX/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,17,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,18,רֹדְפֶ֥יהָ,RDP[,verb.qal.ptca,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,19,הִשִּׂיג֖וּהָ,NFG[,verb.hif.perf,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,20,בֵּ֥ין,BJN/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,21,הַ,H,art.NA.NA,,Leningrad,MT
25,Lamentations,1,3,Lamentations 1:3,22,מְּצָרִֽים׃ ס,MYR/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,1,דַּרְכֵ֨י,DRK/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,2,צִיֹּ֜ון,YJWN==/,nmpr.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,3,אֲבֵלֹ֗ות,>BL===/,adjv.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,4,מִ,MN,prep.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,5,בְּלִי֙,BLJ/,subs.NA.NA,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,6,בָּאֵ֣י,BW>[,verb.qal.ptca,,Leningrad,MT
25,Lamentations,1,4,Lamentations 1:4,7,מֹועֵ֔ד,MW<D/,subs.NA.NA,,Leningrad,MT
