book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,2,יִּקְרָ֖א,QR>[,verb.qal.wayq,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,3,אֶל־,>L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,4,מֹשֶׁ֑ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,5,וַ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,6,יְדַבֵּ֤ר,DBR[,verb.piel.wayq,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,7,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,8,אֵלָ֔יו,>L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,9,מֵ,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,10,אֹ֥הֶל,>HL/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,11,מֹועֵ֖ד,MW<D/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,12,לֵ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,1,Leviticus 1:1,13,אמֹֽר׃,>MR[,verb.qal.infc,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,1,דַּבֵּ֞ר,DBR[,verb.piel.impv,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,2,אֶל־,>L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,3,בְּנֵ֤י,BN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,4,יִשְׂרָאֵל֙,JFR>L/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,5,וְ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,6,אָמַרְתָּ֣,>MR[,verb.qal.perf,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,7,אֲלֵהֶ֔ם,>L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,8,אָדָ֗ם,>DM/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,9,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,10,יַקְרִ֥יב,QRB[,verb.hif.impf,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,11,מִכֶּ֛ם,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,12,קָרְבָּ֖ן,QRBN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,13,לַֽ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,14,יהוָ֑ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,15,מִן־,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,16,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,17,בְּהֵמָ֗ה,BHMH/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,18,מִן־,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,19,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,20,בָּקָר֙,BQR/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,21,וּ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,22,מִן־,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,23,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,24,צֹּ֔אן,Y>N/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,25,תַּקְרִ֖יבוּ,QRB[,verb.hif.impf,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,26,אֶת־,>T,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,2,Leviticus 1:2,27,קָרְבַּנְכֶֽם׃,QRBN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,1,אִם־,>M,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,2,עֹלָ֤ה,<LH/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,3,קָרְבָּנֹו֙,QRBN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,4,מִן־,MN,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,5,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,6,בָּקָ֔ר,BQR/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,7,זָכָ֥ר,ZKR=/,adjv.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,8,תָּמִ֖ים,TMJM/,adjv.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,9,יַקְרִיבֶ֑נּוּ,QRB[,verb.hif.impf,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,10,אֶל־,>L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,11,פֶּ֝תַח,PTX/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,12,אֹ֤הֶל,>HL/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,13,מֹועֵד֙,MW<D/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,14,יַקְרִ֣יב,QRB[,verb.hif.impf,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,15,אֹתֹ֔ו,>T,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,16,לִ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,17,רְצֹנֹ֖ו,RYWN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,18,לִ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,19,פְנֵ֥י,PNH/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,3,Leviticus 1:3,20,יְהוָֽה׃,JHWH/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,1,וְ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,2,סָמַ֣ךְ,SMK[,verb.qal.perf,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,3,יָדֹ֔ו,JD/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,4,עַ֖ל,<L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,5,רֹ֣אשׁ,R>C/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,6,הָ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,7,עֹלָ֑ה,<LH/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,8,וְ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,9,נִרְצָ֥ה,RYH[,verb.nif.perf,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,10,לֹ֖ו,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,11,לְ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,12,כַפֵּ֥ר,KPR[,verb.piel.infc,,Leningrad,MT
3,Leviticus,1,4,Leviticus 1:4,13,עָלָֽיו׃,<L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,1,וְ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,2,שָׁחַ֛ט,CXV[,verb.qal.perf,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,3,אֶת־,>T,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,4,בֶּ֥ן,BN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,5,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,6,בָּקָ֖ר,BQR/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,7,לִ,L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,8,פְנֵ֣י,PNH/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,9,יְהוָ֑ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,10,וְ֠,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,11,הִקְרִיבוּ,QRB[,verb.hif.perf,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,12,בְּנֵ֨י,BN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,13,אַהֲרֹ֤ן,>HRN/,nmpr.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,14,הַֽ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,15,כֹּֽהֲנִים֙,KHN/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,16,אֶת־,>T,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,17,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,18,דָּ֔ם,DM/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,19,וְ,W,conj.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,20,זָרְק֨וּ,ZRQ[,verb.qal.perf,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,21,אֶת־,>T,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,22,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,23,דָּ֤ם,DM/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,24,עַל־,<L,prep.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,25,הַ,H,art.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,26,מִּזְבֵּ֨חַ֙,MZBX/,subs.NA.NA,,Leningrad,MT
3,Leviticus,1,5,Leviticus 1:5,27,סָבִ֔יב,SBJB/,subs.NA.NA,,Leningrad,MT
