book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
39,Malachi,1,1,Malachi 1:1,1,מַשָּׂ֥א,MF>=/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,2,דְבַר־,DBR/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,3,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,4,אֶל־,>L,prep.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,5,יִשְׂרָאֵ֑ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,6,בְּ,B,prep.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,7,יַ֖ד,JD/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,1,Malachi 1:1,8,מַלְאָכִֽי׃,ML>KJ/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,1,אָהַ֤בְתִּי,>HB[,verb.qal.perf,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,2,אֶתְכֶם֙,>T,prep.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,3,אָמַ֣ר,>MR[,verb.qal.perf,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,4,יְהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,5,וַ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,6,אֲמַרְתֶּ֖ם,>MR[,verb.qal.perf,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,7,בַּ,B,prep.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,8,מָּ֣ה,MH,prin.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,9,אֲהַבְתָּ֑נוּ,>HB[,verb.qal.perf,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,10,הֲ,H=,inrg.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,11,לֹוא־,L>,nega.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,12,אָ֨ח,>X/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,13,עֵשָׂ֤ו,<FW/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,14,לְ,L,prep.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,15,יַֽעֲקֹב֙,J<QB/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,16,נְאֻם־,N>M/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,17,יְהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,18,וָ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,19,אֹהַ֖ב,>HB[,verb.qal.wayq,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,20,אֶֽת־,>T,prep.NA.NA,,Leningrad,MT
39,Malachi,1,2,Malachi 1:2,21,יַעֲקֹֽב׃,J<QB/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,1,וְ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,2,אֶת־,>T,prep.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,3,עֵשָׂ֖ו,<FW/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,4,שָׂנֵ֑אתִי,FN>[,verb.qal.perf,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,5,וָ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,6,אָשִׂ֤ים,FJM[,verb.qal.wayq,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,7,אֶת־,>T,prep.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,8,הָרָיו֙,HR/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,9,שְׁמָמָ֔ה,CMMH/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,10,וְ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,11,אֶת־,>T,prep.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,12,נַחֲלָתֹ֖ו,NXLH/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,13,לְ,L,prep.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,14,תַנֹּ֥ות,TN/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,3,Malachi 1:3,15,מִדְבָּֽר׃,MDBR/,subs.NA.NA,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,1,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,2,תֹאמַ֨ר,>MR[,verb.qal.impf,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,3,אֱדֹ֜ום,>DWM/,nmpr.NA.NA,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,4,רֻשַּׁ֗שְׁנוּ,RCC[,verb.pual.perf,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,5,וְ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,6,נָשׁוּב֙,CWB[,verb.qal.impf,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,7,וְ,W,conj.NA.NA,,Leningrad,MT
39,Malachi,1,4,Malachi 1:4,8,נִבְנֶ֣ה,BNH[,verb.qal.impf,,Leningrad,MT
