book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
33,Micah,1,1,Micah 1:1,1,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,2,יְהוָ֣ה׀,JHWH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,3,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,4,הָיָ֗ה,HJH[,verb.qal.perf,,Leningrad,MT
33,Micah,1,1,Micah 1:1,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,6,מִיכָה֙,MJKH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,7,הַ,H,art.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,8,מֹּ֣רַשְׁתִּ֔י,MWRCTJ/,adjv.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,9,בִּ,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,10,ימֵ֥י,JWM/,subs.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,11,יֹותָ֛ם,JWTM/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,12,אָחָ֥ז,>XZ=/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,13,יְחִזְקִיָּ֖ה,JXZQJH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,14,מַלְכֵ֣י,MLK/,subs.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,15,יְהוּדָ֑ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,16,אֲשֶׁר־,>CR,conj.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,17,חָזָ֥ה,XZH[,verb.qal.perf,,Leningrad,MT
33,Micah,1,1,Micah 1:1,18,עַל־,<L,prep.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,19,שֹׁמְרֹ֖ון,CMRWN/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,20,וִ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,1,Micah 1:1,21,ירֽוּשָׁלִָֽם׃,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,1,שִׁמְעוּ֙,CM<[,verb.qal.impv,,Leningrad,MT
33,Micah,1,2,Micah 1:2,2,עַמִּ֣ים,<M/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,3,כֻּלָּ֔ם,KL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,4,הַקְשִׁ֖יבִי,QCB[,verb.hif.impv,,Leningrad,MT
33,Micah,1,2,Micah 1:2,5,אֶ֣רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,6,וּ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,7,מְלֹאָ֑הּ,ML>=/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,8,וִ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,9,יהִי֩,HJH[,verb.qal.impf,,Leningrad,MT
33,Micah,1,2,Micah 1:2,10,אֲדֹנָ֨י,>DNJ/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,11,יְהוִ֤ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,12,בָּכֶם֙,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,13,לְ,L,prep.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,14,עֵ֔ד,<D=/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,15,אֲדֹנָ֖י,>DNJ/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,16,מֵ,MN,prep.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,17,הֵיכַ֥ל,HJKL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,2,Micah 1:2,18,קָדְשֹֽׁו׃,QDC/,subs.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,1,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,2,הִנֵּ֥ה,HNH,intj.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,3,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,4,יֹצֵ֣א,JY>[,verb.qal.ptca,,Leningrad,MT
33,Micah,1,3,Micah 1:3,5,מִ,MN,prep.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,6,מְּקֹומֹ֑ו,MQWM/,subs.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,7,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,8,יָרַ֥ד,JRD[,verb.qal.perf,,Leningrad,MT
33,Micah,1,3,Micah 1:3,9,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,10,דָרַ֖ךְ,DRK[,verb.qal.perf,,Leningrad,MT
33,Micah,1,3,Micah 1:3,11,עַל־,<L,prep.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,12,בָּ֥מֳתֵי,BMH/,subs.NA.NA,,Leningrad,MT
33,Micah,1,3,Micah 1:3,13,אָֽרֶץ׃,>RY/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,1,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,2,נָמַ֤סּוּ,MSS[,verb.nif.perf,,Leningrad,MT
33,Micah,1,4,Micah 1:4,3,הֶֽ,H,art.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,4,הָרִים֙,HR/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,5,תַּחְתָּ֔יו,TXT/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,6,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,7,הָ,H,art.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,8,עֲמָקִ֖ים,<MQ/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,9,יִתְבַּקָּ֑עוּ,BQ<[,verb.hit.impf,,Leningrad,MT
33,Micah,1,4,Micah 1:4,10,כַּ,K,prep.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,11,,H,art.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,12,דֹּונַג֙,DWNG/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,13,מִ,MN,prep.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,14,פְּנֵ֣י,PNH/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,15,הָ,H,art.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,16,אֵ֔שׁ,>C/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,17,כְּ,K,prep.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,18,מַ֖יִם,MJM/,subs.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,19,מֻגָּרִ֥ים,NGR[,verb.hof.ptcp,,Leningrad,MT
33,Micah,1,4,Micah 1:4,20,בְּ,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,4,Micah 1:4,21,מֹורָֽד׃,MWRD/,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,1,בְּ,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,2,פֶ֤שַׁע,PC</,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,3,יַֽעֲקֹב֙,J<QB/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,4,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,5,זֹ֔את,Z>T,prde.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,6,וּ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,7,בְ,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,8,חַטֹּ֖אות,XV>T/,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,9,בֵּ֣ית,BJT/,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,10,יִשְׂרָאֵ֑ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,11,מִֽי־,MJ,prin.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,12,פֶ֣שַׁע,PC</,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,13,יַעֲקֹ֗ב,J<QB/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,14,הֲ,H=,inrg.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,15,לֹוא֙,L>,nega.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,16,שֹֽׁמְרֹ֔ון,CMRWN/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,17,וּ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,18,מִי֙,MJ,prin.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,19,בָּמֹ֣ות,BMH/,subs.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,20,יְהוּדָ֔ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,21,הֲ,H=,inrg.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,22,לֹ֖וא,L>,nega.NA.NA,,Leningrad,MT
33,Micah,1,5,Micah 1:5,23,יְרוּשָׁלִָֽם׃,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,1,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,2,שַׂמְתִּ֥י,FJM[,verb.qal.perf,,Leningrad,MT
33,Micah,1,6,Micah 1:6,3,שֹׁמְרֹ֛ון,CMRWN/,nmpr.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,4,לְ,L,prep.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,5,עִ֥י,<J/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,6,הַ,H,art.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,7,שָּׂדֶ֖ה,FDH/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,8,לְ,L,prep.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,9,מַטָּ֣עֵי,MV</,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,10,כָ֑רֶם,KRM/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,11,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,12,הִגַּרְתִּ֤י,NGR[,verb.hif.perf,,Leningrad,MT
33,Micah,1,6,Micah 1:6,13,לַ,L,prep.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,14,,H,art.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,15,גַּי֙,GJ>/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,16,אֲבָנֶ֔יהָ,>BN/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,17,וִ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,18,יסֹדֶ֖יהָ,JSWD/,subs.NA.NA,,Leningrad,MT
33,Micah,1,6,Micah 1:6,19,אֲגַלֶּֽה׃,GLH[,verb.piel.impf,,Leningrad,MT
33,Micah,1,7,Micah 1:7,1,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,2,כָל־,KL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,3,פְּסִילֶ֣יהָ,PSJL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,4,יֻכַּ֗תּוּ,KTT[,verb.hof.impf,,Leningrad,MT
33,Micah,1,7,Micah 1:7,5,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,6,כָל־,KL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,7,אֶתְנַנֶּ֨יהָ֙,>TNN/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,8,יִשָּׂרְפ֣וּ,FRP[,verb.nif.impf,,Leningrad,MT
33,Micah,1,7,Micah 1:7,9,בָ,B,prep.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,10,,H,art.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,11,אֵ֔שׁ,>C/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,12,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,13,כָל־,KL/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,14,עֲצַבֶּ֖יהָ,<YB/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,15,אָשִׂ֣ים,FJM[,verb.qal.impf,,Leningrad,MT
33,Micah,1,7,Micah 1:7,16,שְׁמָמָ֑ה,CMMH/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,17,כִּ֠י,KJ,conj.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,18,מֵ,MN,prep.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,19,אֶתְנַ֤ן,>TNN/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,20,זֹונָה֙,ZNH[,verb.qal.ptca,,Leningrad,MT
33,Micah,1,7,Micah 1:7,21,קִבָּ֔צָה,QBY[,verb.piel.perf,,Leningrad,MT
33,Micah,1,7,Micah 1:7,22,וְ,W,conj.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,23,עַד־,<D,prep.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,24,אֶתְנַ֥ן,>TNN/,subs.NA.NA,,Leningrad,MT
33,Micah,1,7,Micah 1:7,25,זֹונָ֖ה,ZNH[,verb.qal.ptca,,Leningrad,MT
