book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
34,Nahum,1,1,Nahum 1:1,1,מַשָּׂ֖א,MF>=/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,2,נִֽינְוֵ֑ה,NJNWH/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,3,סֵ֧פֶר,SPR/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,4,חֲזֹ֛ון,XZWN/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,5,נַח֖וּם,NXWM/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,6,הָ,H,art.NA.NA,,Leningrad,MT
34,Nahum,1,1,Nahum 1:1,7,אֶלְקֹשִֽׁי׃,>LQCJ/,adjv.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,1,אֵ֣ל,>L/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,2,קַנֹּ֤וא,QNW>/,adjv.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,3,וְ,W,conj.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,4,נֹקֵם֙,NQM[,verb.qal.ptca,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,5,יְהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,6,נֹקֵ֥ם,NQM[,verb.qal.ptca,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,7,יְהוָ֖ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,8,וּ,W,conj.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,9,בַ֣עַל,B<L/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,10,חֵמָ֑ה,XMH/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,11,נֹקֵ֤ם,NQM[,verb.qal.ptca,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,12,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,13,לְ,L,prep.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,14,צָרָ֔יו,YR=/,subs.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,15,וְ,W,conj.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,16,נֹוטֵ֥ר,NVR=[,verb.qal.ptca,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,17,ה֖וּא,HW>,prps.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,18,לְ,L,prep.NA.NA,,Leningrad,MT
34,Nahum,1,2,Nahum 1:2,19,אֹיְבָֽיו׃,>JB[,verb.qal.ptca,,Leningrad,MT
34,Nahum,1,3,Nahum 1:3,1,יְהֹוָ֗ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
34,Nahum,1,3,Nahum 1:3,2,אֶ֤רֶךְ,>RK/,adjv.NA.NA,,Leningrad,MT
