book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
16,Nehemiah,1,1,Nehemiah 1:1,1,דִּבְרֵ֥י,DBR/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,2,נְחֶמְיָ֖ה,NXMJH/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,3,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,4,חֲכַלְיָ֑ה,XKLJH/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,5,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,6,יְהִ֤י,HJH[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,7,בְ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,8,חֹֽדֶשׁ־,XDC=/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,9,כִּסְלֵיו֙,KSLW/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,10,שְׁנַ֣ת,CNH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,11,עֶשְׂרִ֔ים,<FRJM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,12,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,13,אֲנִ֥י,>NJ,prps.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,14,הָיִ֖יתִי,HJH[,verb.qal.perf,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,15,בְּ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,16,שׁוּשַׁ֥ן,CWCN=/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,17,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,1,Nehemiah 1:1,18,בִּירָֽה׃,BJRH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,1,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,2,יָּבֹ֨א,BW>[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,3,חֲנָ֜נִי,XNNJ/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,4,אֶחָ֧ד,>XD/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,5,מֵ,MN,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,6,אַחַ֛י,>X/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,7,ה֥וּא,HW>,prps.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,8,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,9,אֲנָשִׁ֖ים,>JC/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,10,מִֽ,MN,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,11,יהוּדָ֑ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,12,וָ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,13,אֶשְׁאָלֵ֞ם,C>L[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,14,עַל־,<L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,15,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,16,יְּהוּדִ֧ים,JHWDJ/,adjv.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,17,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,18,פְּלֵיטָ֛ה,PLJVH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,19,אֲשֶֽׁר־,>CR,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,20,נִשְׁאֲר֥וּ,C>R[,verb.nif.perf,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,21,מִן־,MN,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,22,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,23,שֶּׁ֖בִי,CBJ/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,24,וְ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,25,עַל־,<L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,2,Nehemiah 1:2,26,יְרוּשָׁלִָֽם׃,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,1,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,2,יֹּאמְרוּ֮,>MR[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,3,לִי֒,L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,4,הַֽ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,5,נִּשְׁאָרִ֞ים,C>R[,verb.nif.ptca,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,6,אֲשֶֽׁר־,>CR,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,7,נִשְׁאֲר֤וּ,C>R[,verb.nif.perf,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,8,מִן־,MN,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,9,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,10,שְּׁבִי֙,CBJ/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,11,שָׁ֣ם,CM,advb.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,12,בַּ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,13,,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,14,מְּדִינָ֔ה,MDJNH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,15,בְּ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,16,רָעָ֥ה,R<H/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,17,גְדֹלָ֖ה,GDWL/,adjv.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,18,וּ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,19,בְ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,20,חֶרְפָּ֑ה,XRPH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,21,וְ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,22,חֹומַ֤ת,XWMH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,23,יְרוּשָׁלִַ֨ם֙,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,24,מְפֹרָ֔צֶת,PRY[,verb.pual.ptcp,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,25,וּ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,26,שְׁעָרֶ֖יהָ,C<R/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,27,נִצְּת֥וּ,JYT[,verb.nif.perf,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,28,בָ,B,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,29,,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,3,Nehemiah 1:3,30,אֵֽשׁ׃,>C/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,1,וַ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,2,יְהִ֞י,HJH[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,3,כְּ,K,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,4,שָׁמְעִ֣י׀,CM<[,verb.qal.infc,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,5,אֶת־,>T,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,6,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,7,דְּבָרִ֣ים,DBR/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,8,הָ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,9,אֵ֗לֶּה,>LH,prde.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,10,יָשַׁ֨בְתִּי֙,JCB[,verb.qal.perf,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,11,וָֽ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,12,אֶבְכֶּ֔ה,BKH[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,13,וָ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,14,אֶתְאַבְּלָ֖ה,>BL[,verb.hit.wayq,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,15,יָמִ֑ים,JWM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,16,וָֽ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,17,אֱהִ֥י,HJH[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,18,צָם֙,YWM[,verb.qal.ptca,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,19,וּ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,20,מִתְפַּלֵּ֔ל,PLL[,verb.hit.ptca,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,21,לִ,L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,22,פְנֵ֖י,PNH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,23,אֱלֹהֵ֥י,>LHJM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,24,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,4,Nehemiah 1:4,25,שָּׁמָֽיִם׃,CMJM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,1,וָ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,2,אֹמַ֗ר,>MR[,verb.qal.wayq,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,3,אָֽנָּ֤א,>N>,intj.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,4,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,5,אֱלֹהֵ֣י,>LHJM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,6,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,7,שָּׁמַ֔יִם,CMJM/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,8,הָ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,9,אֵ֥ל,>L/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,10,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,11,גָּדֹ֖ול,GDWL/,adjv.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,12,וְ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,13,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,14,נֹּורָ֑א,JR>[,verb.nif.ptca,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,15,שֹׁמֵ֤ר,CMR[,verb.qal.ptca,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,16,הַ,H,art.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,17,בְּרִית֙,BRJT/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,18,וָ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,19,חֶ֔סֶד,XSD/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,20,לְ,L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,21,אֹהֲבָ֖יו,>HB[,verb.qal.ptca,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,22,וּ,W,conj.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,23,לְ,L,prep.NA.NA,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,24,שֹׁמְרֵ֥י,CMR[,verb.qal.ptca,,Leningrad,MT
16,Nehemiah,1,5,Nehemiah 1:5,25,מִצְוֹתָֽיו׃,MYWH/,subs.NA.NA,,Leningrad,MT
16,Nehemiah,1,6,Nehemiah 1:6,1,תְּהִ֣י,HJH[,verb.qal.impf,,Leningrad,MT
