book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,2,יְדַבֵּ֨ר,DBR[,verb.piel.wayq,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,3,יְהוָ֧ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,4,אֶל־,>L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,5,מֹשֶׁ֛ה,MCH=/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,6,בְּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,7,מִדְבַּ֥ר,MDBR/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,8,סִינַ֖י,SJNJ=/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,9,בְּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,10,אֹ֣הֶל,>HL/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,11,מֹועֵ֑ד,MW<D/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,12,בְּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,13,אֶחָד֩,>XD/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,14,לַ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,15,,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,16,חֹ֨דֶשׁ,XDC=/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,17,הַ,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,18,שֵּׁנִ֜י,CNJ/,adjv.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,19,בַּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,20,,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,21,שָּׁנָ֣ה,CNH/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,22,הַ,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,23,שֵּׁנִ֗ית,CNJ/,adjv.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,24,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,25,צֵאתָ֛ם,JY>[,verb.qal.infc,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,26,מֵ,MN,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,27,אֶ֥רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,28,מִצְרַ֖יִם,MYRJM/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,29,לֵ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,1,Numbers 1:1,30,אמֹֽר׃,>MR[,verb.qal.infc,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,1,שְׂא֗וּ,NF>[,verb.qal.impv,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,2,אֶת־,>T,prep.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,3,רֹאשׁ֙,R>C/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,4,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,5,עֲדַ֣ת,<DH/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,6,בְּנֵֽי־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,7,יִשְׂרָאֵ֔ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,8,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,9,מִשְׁפְּחֹתָ֖ם,MCPXH/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,10,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,11,בֵ֣ית,BJT/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,12,אֲבֹתָ֑ם,>B/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,13,בְּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,14,מִסְפַּ֣ר,MSPR/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,15,שֵׁמֹ֔ות,CM/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,16,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,17,זָכָ֖ר,ZKR=/,adjv.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,18,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,2,Numbers 1:2,19,גֻלְגְּלֹתָֽם׃,GLGLT/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,1,מִ,MN,prep.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,2,בֶּ֨ן,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,3,עֶשְׂרִ֤ים,<FRJM/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,4,שָׁנָה֙,CNH/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,5,וָ,W,conj.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,6,מַ֔עְלָה,M<L/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,7,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,8,יֹצֵ֥א,JY>[,verb.qal.ptca,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,9,צָבָ֖א,YB>/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,10,בְּ,B,prep.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,11,יִשְׂרָאֵ֑ל,JFR>L/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,12,תִּפְקְד֥וּ,PQD[,verb.qal.impf,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,13,אֹתָ֛ם,>T,prep.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,14,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,15,צִבְאֹתָ֖ם,YB>/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,16,אַתָּ֥ה,>TH,prps.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,17,וְ,W,conj.NA.NA,,Leningrad,MT
4,Numbers,1,3,Numbers 1:3,18,אַהֲרֹֽן׃,>HRN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,1,וְ,W,conj.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,2,אִתְּכֶ֣ם,>T==,prep.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,3,יִהְי֔וּ,HJH[,verb.qal.impf,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,4,אִ֥ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,5,אִ֖ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,6,לַ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,7,,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,8,מַּטֶּ֑ה,MVH/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,9,אִ֛ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,10,רֹ֥אשׁ,R>C/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,11,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,12,בֵית־,BJT/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,13,אֲבֹתָ֖יו,>B/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,4,Numbers 1:4,14,הֽוּא׃,HW>,prps.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,1,וְ,W,conj.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,2,אֵ֨לֶּה֙,>LH,prde.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,3,שְׁמֹ֣ות,CM/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,4,הָֽ,H,art.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,5,אֲנָשִׁ֔ים,>JC/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,6,אֲשֶׁ֥ר,>CR,conj.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,7,יַֽעַמְד֖וּ,<MD[,verb.qal.impf,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,8,אִתְּכֶ֑ם,>T==,prep.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,9,לִ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,10,רְאוּבֵ֕ן,R>WBN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,11,אֱלִיצ֖וּר,>LJYWR/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,12,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,5,Numbers 1:5,13,שְׁדֵיאֽוּר׃,CDJ>WR/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,6,Numbers 1:6,1,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,6,Numbers 1:6,2,שִׁמְעֹ֕ון,CM<WN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,6,Numbers 1:6,3,שְׁלֻמִיאֵ֖ל,CLMJ>L/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,6,Numbers 1:6,4,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,6,Numbers 1:6,5,צוּרִֽישַׁדָּֽי׃,YWRJCDJ/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,7,Numbers 1:7,1,לִֽ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,7,Numbers 1:7,2,יהוּדָ֕ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,7,Numbers 1:7,3,נַחְשֹׁ֖ון,NXCWN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,7,Numbers 1:7,4,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,7,Numbers 1:7,5,עַמִּינָדָֽב׃,<MJNDB/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,8,Numbers 1:8,1,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,8,Numbers 1:8,2,יִ֨שָּׂשכָ֔ר,JFFKR/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,8,Numbers 1:8,3,נְתַנְאֵ֖ל,NTN>L/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,8,Numbers 1:8,4,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,8,Numbers 1:8,5,צוּעָֽר׃,YW<R/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,9,Numbers 1:9,1,לִ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,9,Numbers 1:9,2,זְבוּלֻ֕ן,ZBWLN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,9,Numbers 1:9,3,אֱלִיאָ֖ב,>LJ>B/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,9,Numbers 1:9,4,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,9,Numbers 1:9,5,חֵלֹֽן׃,XLN/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,1,לִ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,2,בְנֵ֣י,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,3,יֹוסֵ֔ף,JWSP/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,4,לְ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,5,אֶפְרַ֕יִם,>PRJM/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,6,אֱלִישָׁמָ֖ע,>LJCM</,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,7,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,8,עַמִּיה֑וּד,<MJHWD/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,9,לִ,L,prep.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,10,מְנַשֶּׁ֕ה,MNCH/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,11,גַּמְלִיאֵ֖ל,GMLJ>L/,nmpr.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,12,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
4,Numbers,1,10,Numbers 1:10,13,פְּדָהצֽוּר׃,PDHYWR/,nmpr.NA.NA,,Leningrad,MT
