book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
31,Obadiah,1,1,Obadiah 1:1,1,חֲזֹ֖ון,XZWN/,subs.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,2,עֹֽבַדְיָ֑ה,<BDJH/,nmpr.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,3,כֹּֽה־,KH,advb.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,4,אָמַר֩,>MR[,verb.qal.perf,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,5,אֲדֹנָ֨י,>DNJ/,nmpr.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,6,יְהוִ֜ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,7,לֶ,L,prep.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,8,אֱדֹ֗ום,>DWM/,nmpr.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,9,שְׁמוּעָ֨ה,CMW<H/,subs.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,10,שָׁמַ֜עְנוּ,CM<[,verb.qal.perf,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,11,מֵ,MN,prep.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,12,אֵ֤ת,>T==,prep.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,13,יְהוָה֙,JHWH/,nmpr.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,14,וְ,W,conj.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,15,צִיר֙,YJR==/,subs.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,16,בַּ,B,prep.NA.NA,,Leningrad,MT
31,Obadiah,1,1,Obadiah 1:1,17,,H,art.NA.NA,,Leningrad,MT
