book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
20,Proverbs,1,1,Proverbs 1:1,1,מִ֭שְׁלֵי,MCL/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,1,Proverbs 1:1,2,שְׁלֹמֹ֣ה,CLMH=/,nmpr.NA.NA,,Leningrad,MT
20,Proverbs,1,1,Proverbs 1:1,3,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,1,Proverbs 1:1,4,דָּוִ֑ד,DWD==/,nmpr.NA.NA,,Leningrad,MT
20,Proverbs,1,1,Proverbs 1:1,5,מֶ֝֗לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,1,Proverbs 1:1,6,יִשְׂרָאֵֽל׃,JFR>L/,nmpr.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,1,לָ,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,2,דַ֣עַת,JD<[,verb.qal.infc,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,3,חָכְמָ֣ה,XKMH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,4,וּ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,5,מוּסָ֑ר,MWSR/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,6,לְ֝,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,7,הָבִ֗ין,BJN[,verb.hif.infc,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,8,אִמְרֵ֥י,>MR/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,2,Proverbs 1:2,9,בִינָֽה׃,BJNH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,1,לָ֭,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,2,קַחַת,LQX[,verb.qal.infc,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,3,מוּסַ֣ר,MWSR/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,4,הַשְׂכֵּ֑ל,FKL[,verb.hif.infa,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,5,צֶ֥דֶק,YDQ/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,6,וּ֝,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,7,מִשְׁפָּ֗ט,MCPV/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,8,וּ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,3,Proverbs 1:3,9,מֵישָׁרִֽים׃,MJCRJM/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,1,לָ,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,2,תֵ֣ת,NTN[,verb.qal.infc,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,3,לִ,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,4,פְתָאיִ֣ם,PTJ/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,5,עָרְמָ֑ה,<RMH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,6,לְ֝,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,7,נַ֗עַר,N<R/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,8,דַּ֣עַת,D<T/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,9,וּ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,4,Proverbs 1:4,10,מְזִמָּֽה׃,MZMH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,1,יִשְׁמַ֣ע,CM<[,verb.qal.impf,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,2,חָ֭כָם,XKM/,adjv.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,3,וְ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,4,יֹ֣וסֶף,JSP[,verb.hif.impf,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,5,לֶ֑קַח,LQX/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,6,וְ֝,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,7,נָבֹ֗ון,BJN[,verb.nif.ptca,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,8,תַּחְבֻּלֹ֥ות,TXBLWT/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,5,Proverbs 1:5,9,יִקְנֶֽה׃,QNH[,verb.qal.impf,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,1,לְ,L,prep.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,2,הָבִ֣ין,BJN[,verb.hif.infc,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,3,מָ֭שָׁל,MCL/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,4,וּ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,5,מְלִיצָ֑ה,MLJYH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,6,דִּבְרֵ֥י,DBR/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,7,חֲ֝כָמִ֗ים,XKM/,adjv.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,8,וְ,W,conj.NA.NA,,Leningrad,MT
20,Proverbs,1,6,Proverbs 1:6,9,חִידֹתָֽם׃,XJDH/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,7,Proverbs 1:7,1,יִרְאַ֣ת,JR>H/,subs.NA.NA,,Leningrad,MT
20,Proverbs,1,7,Proverbs 1:7,2,יְ֭הוָה,JHWH/,nmpr.NA.NA,,Leningrad,MT
20,Proverbs,1,7,Proverbs 1:7,3,רֵאשִׁ֣ית,R>CJT/,subs.NA.NA,,Leningrad,MT
