book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
19,Psalms,1,1,Psalms 1:1,1,אַ֥שְֽׁרֵי־,>CR=/,subs.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,2,הָ,H,art.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,3,אִ֗ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,4,אֲשֶׁ֤ר׀,>CR,conj.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,5,לֹ֥א,L>,nega.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,6,הָלַךְ֮,HLK[,verb.qal.perf,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,7,בַּ,B,prep.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,8,עֲצַ֢ת,<YH/,subs.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,9,רְשָׁ֫עִ֥ים,RC</,adjv.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,10,וּ,W,conj.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,11,בְ,B,prep.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,12,דֶ֣רֶךְ,DRK/,subs.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,13,חַ֭טָּאִים,XV>=/,adjv.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,14,לֹ֥א,L>,nega.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,15,עָמָ֑ד,<MD[,verb.qal.perf,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,16,וּ,W,conj.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,17,בְ,B,prep.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,18,מֹושַׁ֥ב,MWCB/,subs.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,19,לֵ֝צִ֗ים,LY/,adjv.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,20,לֹ֣א,L>,nega.NA.NA,,Leningrad,MT
19,Psalms,1,1,Psalms 1:1,21,יָשָֽׁב׃,JCB[,verb.qal.perf,,Leningrad,MT
19,Psalms,1,2,Psalms 1:2,1,כִּ֤י,KJ,conj.NA.NA,,Leningrad,MT
19,Psalms,1,2,Psalms 1:2,2,אִ֥ם,>M,conj.NA.NA,,Leningrad,MT
19,Psalms,1,2,Psalms 1:2,3,בְּ,B,prep.NA.NA,,Leningrad,MT
