book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
8,Ruth,1,1,Ruth 1:1,1,וַ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,2,יְהִ֗י,HJH[,verb.qal.wayq,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,3,בִּ,B,prep.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,4,ימֵי֙,JWM/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,5,שְׁפֹ֣ט,CPV[,verb.qal.infc,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,6,הַ,H,art.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,7,שֹּׁפְטִ֔ים,CPV[,verb.qal.ptca,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,8,וַ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,9,יְהִ֥י,HJH[,verb.qal.wayq,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,10,רָעָ֖ב,R<B/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,11,בָּ,B,prep.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,12,,H,art.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,13,אָ֑רֶץ,>RY/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,14,וַ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,15,יֵּ֨לֶךְ,HLK[,verb.qal.wayq,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,16,אִ֜ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,17,מִ,MN,prep.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,18,בֵּ֧ית לֶ֣חֶם,BJT_LXM/,nmpr.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,19,יְהוּדָ֗ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,20,לָ,L,prep.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,21,גוּר֙,GWR[,verb.qal.infc,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,22,בִּ,B,prep.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,23,שְׂדֵ֣י,FDH/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,24,מֹואָ֔ב,MW>B/,nmpr.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,25,ה֥וּא,HW>,prps.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,26,וְ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,27,אִשְׁתֹּ֖ו,>CH/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,28,וּ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,29,שְׁנֵ֥י,CNJM/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,1,Ruth 1:1,30,בָנָֽיו׃,BN/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,1,וְ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,2,שֵׁ֣ם,CM/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,3,הָ,H,art.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,4,אִ֣ישׁ,>JC/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,5,אֱֽלִימֶ֡לֶךְ,>LJMLK/,nmpr.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,6,וְ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,7,שֵׁם֩,CM/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,8,אִשְׁתֹּ֨ו,>CH/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,9,נָעֳמִ֜י,N<MJ=/,nmpr.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,10,וְ,W,conj.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,11,שֵׁ֥ם,CM/,subs.NA.NA,,Leningrad,MT
8,Ruth,1,2,Ruth 1:2,12,שְׁנֵֽי־,CNJM/,subs.NA.NA,,Leningrad,MT
