book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
22,Song of songs,1,1,Song of songs 1:1,1,שִׁ֥יר,CJR/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,1,Song of songs 1:1,2,הַ,H,art.NA.NA,,Leningrad,MT
22,Song of songs,1,1,Song of songs 1:1,3,שִּׁירִ֖ים,CJR/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,1,Song of songs 1:1,4,אֲשֶׁ֥ר,>CR,conj.NA.NA,,Leningrad,MT
22,Song of songs,1,1,Song of songs 1:1,5,לִ,L,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,1,Song of songs 1:1,6,שְׁלֹמֹֽה׃,CLMH=/,nmpr.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,1,יִשָּׁקֵ֨נִי֙,NCQ[,verb.qal.impf,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,2,מִ,MN,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,3,נְּשִׁיקֹ֣ות,NCJQH/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,4,פִּ֔יהוּ,PH/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,5,כִּֽי־,KJ,conj.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,6,טֹובִ֥ים,VWB/,adjv.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,7,דֹּדֶ֖יךָ,DWD/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,8,מִ,MN,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,2,Song of songs 1:2,9,יָּֽיִן׃,JJN/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,1,לְ,L,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,2,רֵ֨יחַ֙,RJX/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,3,שְׁמָנֶ֣יךָ,CMN/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,4,טֹובִ֔ים,VWB/,adjv.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,5,שֶׁ֖מֶן,CMN/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,6,תּוּרַ֣ק,RJQ[,verb.hof.impf,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,7,שְׁמֶ֑ךָ,CM/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,8,עַל־,<L,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,9,כֵּ֖ן,KN,advb.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,10,עֲלָמֹ֥ות,<LMH/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,3,Song of songs 1:3,11,אֲהֵבֽוּךָ׃,>HB[,verb.qal.perf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,1,מָשְׁכֵ֖נִי,MCK[,verb.qal.impv,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,2,אַחֲרֶ֣יךָ,>XR/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,3,נָּר֑וּצָה,RWY[,verb.qal.impf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,4,הֱבִיאַ֨נִי,BW>[,verb.hif.perf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,5,הַ,H,art.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,6,מֶּ֜לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,7,חֲדָרָ֗יו,XDR/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,8,נָגִ֤ילָה,GJL[,verb.qal.impf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,9,וְ,W,conj.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,10,נִשְׂמְחָה֙,FMX[,verb.qal.impf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,11,בָּ֔ךְ,B,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,12,נַזְכִּ֤ירָה,ZKR[,verb.hif.impf,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,13,דֹדֶ֨יךָ֙,DWD/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,14,מִ,MN,prep.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,15,יַּ֔יִן,JJN/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,16,מֵישָׁרִ֖ים,MJCRJM/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,4,Song of songs 1:4,17,אֲהֵבֽוּךָ׃ ס,>HB[,verb.qal.perf,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,1,שְׁחֹורָ֤ה,CXR=/,adjv.NA.NA,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,2,אֲנִי֙,>NJ,prps.NA.NA,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,3,וְֽ,W,conj.NA.NA,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,4,נָאוָ֔ה,N>WH/,adjv.NA.NA,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,5,בְּנֹ֖ות,BT/,subs.NA.NA,,Leningrad,MT
22,Song of songs,1,5,Song of songs 1:5,6,יְרוּשָׁלִָ֑ם,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
