book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
38,Zechariah,1,1,Zechariah 1:1,1,בַּ,B,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,2,,H,art.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,3,חֹ֨דֶשׁ֙,XDC=/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,4,הַ,H,art.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,5,שְּׁמִינִ֔י,CMJNJ/,adjv.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,6,בִּ,B,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,7,שְׁנַ֥ת,CNH/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,8,שְׁתַּ֖יִם,CNJM/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,9,לְ,L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,10,דָרְיָ֑וֶשׁ,DRJWC/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,11,הָיָ֣ה,HJH[,verb.qal.perf,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,12,דְבַר־,DBR/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,13,יְהוָ֗ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,14,אֶל־,>L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,15,זְכַרְיָה֙,ZKRJH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,16,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,17,בֶּ֣רֶכְיָ֔ה,BRKJH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,18,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,19,עִדֹּ֥ו,<DW/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,20,הַ,H,art.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,21,נָּבִ֖יא,NBJ>/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,22,לֵ,L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,1,Zechariah 1:1,23,אמֹֽר׃,>MR[,verb.qal.infc,,Leningrad,MT
38,Zechariah,1,2,Zechariah 1:2,1,קָצַ֧ף,QYP[,verb.qal.perf,,Leningrad,MT
38,Zechariah,1,2,Zechariah 1:2,2,יְהוָ֛ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,2,Zechariah 1:2,3,עַל־,<L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,2,Zechariah 1:2,4,אֲבֹֽותֵיכֶ֖ם,>B/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,2,Zechariah 1:2,5,קָֽצֶף׃,QYP/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,1,וְ,W,conj.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,2,אָמַרְתָּ֣,>MR[,verb.qal.perf,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,3,אֲלֵהֶ֗ם,>L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,4,כֹּ֤ה,KH,advb.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,5,אָמַר֙,>MR[,verb.qal.perf,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,6,יְהוָ֣ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,7,צְבָאֹ֔ות,YB>/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,8,שׁ֣וּבוּ,CWB[,verb.qal.impv,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,9,אֵלַ֔י,>L,prep.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,10,נְאֻ֖ם,N>M/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,11,יְהוָ֣ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,12,צְבָאֹ֑ות,YB>/,subs.NA.NA,,Leningrad,MT
38,Zechariah,1,3,Zechariah 1:3,13,וְ,W,conj.NA.NA,,Leningrad,MT
