book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
36,Zephaniah,1,1,Zephaniah 1:1,1,דְּבַר־,DBR/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,2,יְהוָ֣ה׀,JHWH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,3,אֲשֶׁ֣ר,>CR,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,4,הָיָ֗ה,HJH[,verb.qal.perf,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,5,אֶל־,>L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,6,צְפַנְיָה֙,YPNJH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,7,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,8,כּוּשִׁ֣י,KWCJ/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,9,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,10,גְּדַלְיָ֔ה,GDLJH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,11,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,12,אֲמַרְיָ֖ה,>MRJH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,13,בֶּן־,BN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,14,חִזְקִיָּ֑ה,XZQJH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,15,בִּ,B,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,16,ימֵ֛י,JWM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,17,יֹאשִׁיָּ֥הוּ,J>CJHW/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,18,בֶן־,BN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,19,אָמֹ֖ון,>MWN==/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,20,מֶ֥לֶךְ,MLK/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,1,Zephaniah 1:1,21,יְהוּדָֽה׃,JHWDH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,1,אָסֹ֨ף,>SP[,verb.qal.infa,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,2,אָסֵ֜ף,>SP[,verb.qal.ptca,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,3,כֹּ֗ל,KL/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,4,מֵ,MN,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,5,עַ֛ל,<L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,6,פְּנֵ֥י,PNH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,7,הָ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,8,אֲדָמָ֖ה,>DMH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,9,נְאֻם־,N>M/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,2,Zephaniah 1:2,10,יְהוָֽה׃,JHWH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,1,אָסֵ֨ף,>SP[,verb.qal.ptca,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,2,אָדָ֜ם,>DM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,3,וּ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,4,בְהֵמָ֗ה,BHMH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,5,אָסֵ֤ף,>SP[,verb.qal.ptca,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,6,עֹוף־,<WP/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,7,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,8,שָּׁמַ֨יִם֙,CMJM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,9,וּ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,10,דְגֵ֣י,DG/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,11,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,12,יָּ֔ם,JM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,13,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,14,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,15,מַּכְשֵׁלֹ֖ות,MKCLH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,16,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,17,הָ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,18,רְשָׁעִ֑ים,RC</,adjv.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,19,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,20,הִכְרַתִּ֣י,KRT[,verb.hif.perf,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,21,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,22,הָ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,23,אָדָ֗ם,>DM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,24,מֵ,MN,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,25,עַ֛ל,<L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,26,פְּנֵ֥י,PNH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,27,הָ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,28,אֲדָמָ֖ה,>DMH/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,29,נְאֻם־,N>M/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,3,Zephaniah 1:3,30,יְהוָֽה׃,JHWH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,1,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,2,נָטִ֤יתִי,NVH[,verb.qal.perf,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,3,יָדִי֙,JD/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,4,עַל־,<L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,5,יְהוּדָ֔ה,JHWDH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,6,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,7,עַ֖ל,<L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,8,כָּל־,KL/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,9,יֹושְׁבֵ֣י,JCB[,verb.qal.ptca,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,10,יְרוּשָׁלִָ֑ם,JRWCLM/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,11,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,12,הִכְרַתִּ֞י,KRT[,verb.hif.perf,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,13,מִן־,MN,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,14,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,15,מָּקֹ֤ום,MQWM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,16,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,17,זֶּה֙,ZH,prde.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,18,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,19,שְׁאָ֣ר,C>R=/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,20,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,21,בַּ֔עַל,B<L/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,22,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,23,שֵׁ֥ם,CM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,24,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,25,כְּמָרִ֖ים,KMR/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,26,עִם־,<M,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,27,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,4,Zephaniah 1:4,28,כֹּהֲנִֽים׃,KHN/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,1,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,2,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,3,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,4,מִּשְׁתַּחֲוִ֥ים,XWH[,verb.hsht.ptca,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,5,עַל־,<L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,6,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,7,גַּגֹּ֖ות,GG/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,8,לִ,L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,9,צְבָ֣א,YB>/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,10,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,11,שָּׁמָ֑יִם,CMJM/,subs.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,12,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,13,אֶת־,>T,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,14,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,15,מִּֽשְׁתַּחֲוִים֙,XWH[,verb.hsht.ptca,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,16,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,17,נִּשְׁבָּעִ֣ים,CB<[,verb.nif.ptca,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,18,לַֽ,L,prep.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,19,יהוָ֔ה,JHWH/,nmpr.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,20,וְ,W,conj.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,21,הַ,H,art.NA.NA,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,22,נִּשְׁבָּעִ֖ים,CB<[,verb.nif.ptca,,Leningrad,MT
36,Zephaniah,1,5,Zephaniah 1:5,23,בְּ,B,prep.NA.NA,,Leningrad,MT
