book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
13,1 Chronicles,1,1,1 Chronicles 1:1,1,ܐܕܡ,,,,Peshitta,PESH
13,1 Chronicles,1,1,1 Chronicles 1:1,2,ܫܝܬ,,,,Peshitta,PESH
13,1 Chronicles,1,1,1 Chronicles 1:1,3,ܐܢܘܫ,,,,Peshitta,PESH
13,1 Chronicles,1,2,1 Chronicles 1:2,1,ܩܝܢܢ,,,,Peshitta,PESH
13,1 Chronicles,1,2,1 Chronicles 1:2,2,ܡܗܠܠܐܝܠ,,,,Peshitta,PESH
13,1 Chronicles,1,2,1 Chronicles 1:2,3,ܝܪܕ,,,,Peshitta,PESH
13,1 Chronicles,1,3,1 Chronicles 1:3,1,ܚܢܘܟ,,,,Peshitta,PESH
13,1 Chronicles,1,3,1 Chronicles 1:3,2,ܡܬܘܫܠܚ,,,,Peshitta,PESH
13,1 Chronicles,1,3,1 Chronicles 1:3,3,ܠܡܟ,,,,Peshitta,PESH
13,1 Chronicles,1,4,1 Chronicles 1:4,1,ܢܘܚ,,,,Peshitta,PESH
13,1 Chronicles,1,4,1 Chronicles 1:4,2,ܫܝܡ,,,,Peshitta,PESH
13,1 Chronicles,1,4,1 Chronicles 1:4,3,ܚܡ,,,,Peshitta,PESH
13,1 Chronicles,1,4,1 Chronicles 1:4,4,ܘܝܦܬ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,1,ܒ̈ܢܝ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,2,ܝܦܬ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,3,ܓܡܪ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,4,ܘܡܓܘܓ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,5,ܘܡܕܝ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,6,ܘܝܘܢ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,7,ܘܬܘܒܝܠ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,8,ܘܡܝܫܟ,,,,Peshitta,PESH
13,1 Chronicles,1,5,1 Chronicles 1:5,9,ܘܬܝܪܣ,,,,Peshitta,PESH
13,1 Chronicles,1,6,1 Chronicles 1:6,1,ܒ̈ܢܝ,,,,Peshitta,PESH
13,1 Chronicles,1,6,1 Chronicles 1:6,2,ܓܡܪ,,,,Peshitta,PESH
13,1 Chronicles,1,6,1 Chronicles 1:6,3,ܐܫܟܢܙ,,,,Peshitta,PESH
13,1 Chronicles,1,6,1 Chronicles 1:6,4,ܘܕܝܦܪ,,,,Peshitta,PESH
13,1 Chronicles,1,6,1 Chronicles 1:6,5,ܘܬܘܪܓܡܐ,,,,Peshitta,PESH
13,1 Chronicles,1,7,1 Chronicles 1:7,1,ܘܒܢ̈ܝ,,,,Peshitta,PESH
13,1 Chronicles,1,7,1 Chronicles 1:7,2,ܝܘܢ,,,,Peshitta,PESH
13,1 Chronicles,1,7,1 Chronicles 1:7,3,ܐܠܝܫܐ,,,,Peshitta,PESH
13,1 Chronicles,1,7,1 Chronicles 1:7,4,ܘܬܪܫܝܫ,,,,Peshitta,PESH
