book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
12,2 Kings,1,1,2 Kings 1:1,1,ܘܡܪܕ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,2,ܡܘܐܒ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,3,ܥܠ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,4,ܡܠܟܐ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,5,ܕܐܝܣܪܝܠ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,6,ܡܢ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,7,ܒܬܪ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,8,ܕܡܝܬ,,,,Peshitta,PESH
12,2 Kings,1,1,2 Kings 1:1,9,ܐܚܒ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,1,ܘܢܦܠ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,2,ܐܚܙܝܐ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,3,ܡܢ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,4,ܟܣܘܣܛܪܘܢ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,5,ܕܥܠܝܬܗ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,6,ܕܒܫܡܪܝܢ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,7,ܘܐܬܟܪܗ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,8,ܘܫܕܪ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,9,ܐܝ̈ܙܓܕܐ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,10,ܘܐܡܪ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,11,ܠܗܘܢ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,12,ܙܠܘ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,13,ܫܐܠܘ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,14,ܡܢ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,15,ܒܥܠܙܒܘܒ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,16,ܐܠܗܐ,,,,Peshitta,PESH
12,2 Kings,1,2,2 Kings 1:2,17,ܕܥܩܪܘܢ,,,,Peshitta,PESH
