book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
30,Amos,1,1,Amos 1:1,1,ܦܬ̈ܓܡܘܗܝ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,2,ܕܥܡܘܣ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,3,ܕܗܘܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,4,ܡܢ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,5,ܢܩ̈ܕܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,6,ܕܒ̈ܢܝ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,7,ܬܩܘܥ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,8,ܕܚܙܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,9,ܥܠ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,10,ܒܢ̈ܝ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,11,ܐܝܣܪܝܠ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,12,ܒܝ̈ܘܡܘܗܝ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,13,ܕܥܘܙܝܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,14,ܡܠܟܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,15,ܕܝܗܘܕܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,16,ܘܒܝ̈ܘܡܘܗܝ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,17,ܕܝܘܪܒܥܡ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,18,ܒܪ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,19,ܝܘܐܫ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,20,ܡܠܟܐ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,21,ܕܐܝܣܪܐܝܠ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,22,ܬܪ̈ܬܝܢ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,23,ܫ̈ܢܝܢ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,24,ܡܢ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,25,ܩܕܡ,,,,Peshitta,PESH
30,Amos,1,1,Amos 1:1,26,ܙܘܥܐ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,1,ܘܐܡܪ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,2,ܡܪܝܐ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,3,ܡܢ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,4,ܨܗܝܘܢ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,5,ܢܢܗܡ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,6,ܘܡܢ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,7,ܐܘܪܫܠܡ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,8,ܢܬܠ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,9,ܩܠܗ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,10,ܘܢܬ̈ܒܢ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,11,ܒܐܒܠܐ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,12,ܕܝܪ̈ܐ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,13,ܕܪ̈ܥܘܬܐ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,14,ܘܢܐܒܫ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,15,ܪܝܫܗ,,,,Peshitta,PESH
30,Amos,1,2,Amos 1:2,16,ܕܟܪܡܠܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,1,ܗܟܢܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,2,ܐܡܪ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,3,ܡܪܝܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,4,ܥܠ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,5,ܬܠܬܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,6,ܚ̈ܘܒܝܗ̇,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,7,ܕܕܪܡܣܘܩ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,8,ܘܕܐܪ̈ܒܥܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,9,ܠܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,10,ܐܗܦܟ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,11,ܡܢܗܘܢ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,12,ܥܠ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,13,ܕܕܫܘ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,14,ܒܣ̈ܟܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,15,ܕܦܪܙܠܐ,,,,Peshitta,PESH
30,Amos,1,3,Amos 1:3,16,ܠܓܠܥܕ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,1,ܐܫܕܪ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,2,ܢܘܪܐ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,3,ܠܒܝܬܗ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,4,ܕܚܙܐܝܠ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,5,ܘܬܐܟܘܠ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,6,ܣܚܪ̈ܬܗ,,,,Peshitta,PESH
30,Amos,1,4,Amos 1:4,7,ܕܒܪܗܕܕ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,1,ܘܐܬܒܪ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,2,ܡܘ̈ܟܠܐ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,3,ܕܕܪܡܣܘܩ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,4,ܘܐܘܒܕ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,5,ܥܡܘܪܐ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,6,ܡܢ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,7,ܦܩܥܬܐ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,8,ܕܐܘܢ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,9,ܘܣܡܟ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,10,ܫܒܛܐ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,11,ܡܢ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,12,ܒܝܬ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,13,ܥܕܢ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,14,ܘܢܫܬܒܘܢ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,15,ܥܡܐ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,16,ܕܐܪܡ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,17,ܠܩܝܪ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,18,ܐܡܪ,,,,Peshitta,PESH
30,Amos,1,5,Amos 1:5,19,ܡܪܝܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,1,ܗܟܢܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,2,ܐܡܪ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,3,ܡܪܝܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,4,ܥܠ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,5,ܬܠܬܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,6,ܚ̈ܘܒܝܗ̇,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,7,ܕܥܐܙܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,8,ܘܕܐܪ̈ܒܥܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,9,ܠܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,10,ܐܗܦܟ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,11,ܡܢܗܘܢ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,12,ܥܠ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,13,ܕܫܒܘ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,14,ܫܒܝܬܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,15,ܫܠܡܬܐ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,16,ܕܢܫܠܡܘܢ,,,,Peshitta,PESH
30,Amos,1,6,Amos 1:6,17,ܠܐܕܘܡ,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,1,ܐܫܕܪ,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,2,ܢܘܪܐ,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,3,ܒܫܘܪ̈ܝܗ̇,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,4,ܕܥܐܙܐ,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,5,ܘܬܐܟܘܠ,,,,Peshitta,PESH
30,Amos,1,7,Amos 1:7,6,ܣܚܪ̈ܬܗ̇,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,1,ܘܐܘܒܕ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,2,ܥܡܘܪܐ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,3,ܡܢ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,4,ܐܫܕܘܕ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,5,ܘܣܡܟ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,6,ܫܒܛܐ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,7,ܡܢ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,8,ܐܫܩܠܘܢ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,9,ܘܐܗܦܟ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,10,ܐܝܕܝ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,11,ܥܠ,,,,Peshitta,PESH
30,Amos,1,8,Amos 1:8,12,ܥܩܪܘܢ,,,,Peshitta,PESH
