book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
27,Daniel,1,1,Daniel 1:1,1,ܒܫܢܬ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,2,ܬܠܬ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,3,ܕܡܠܟܘܬܗ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,4,ܕܝܘܝܩܝܡ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,5,ܡ̇ܠܟܐ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,6,ܕܝܗܘܕܐ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,7,ܐܬ̣ܐ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,8,ܢܒܘܟܕܢܨܪ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,9,ܡ̇ܠܟܐ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,10,ܕܒܒܠ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,11,ܠܐܘܪܫܠܡ,,,,Peshitta,PESH
27,Daniel,1,1,Daniel 1:1,12,ܘܚܕܪܗ̇,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,1,ܘܐܫܠܡܗ̇,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,2,ܡܪܝܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,3,ܒܐܝܕܗ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,4,ܘܠܝܘܝܩܝܡ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,5,ܡ̇ܠܟܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,6,ܕܝܗܘܕܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,7,ܘܠܡܐ̈ܢܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,8,ܕܒܝܬܗ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,9,ܕܡܪܝܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,10,ܘܡܢ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,11,ܡܐ̈ܢܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,12,ܕܒܝܬܗ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,13,ܕܡܪܝܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,14,ܐܘܒܠ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,15,ܐܢܘܢ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,16,ܠܐܪܥܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,17,ܕܣܢܥܪ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,18,ܠܒܝܬ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,19,ܦܬܟܪܗ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,20,ܘܡܐ̈ܢܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,21,ܐܥܠ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,22,ܠܒܝܬ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,23,ܓܙܐ,,,,Peshitta,PESH
27,Daniel,1,2,Daniel 1:2,24,ܕܦܬܟܪܗ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,1,ܘܐܡ̣ܪ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,2,ܡ̇ܠܟܐ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,3,ܠܐܫܦܙ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,4,ܪܒ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,5,ܡܗܝ̈ܡܢܐ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,6,ܕܢܝܬܐ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,7,ܡܢ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,8,ܒܢ̈ܝ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,9,ܐܝܣܪܝܠ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,10,ܘܡܢ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,11,ܙܪܥ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,12,ܡ̈ܠܟܘܬܐ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,13,ܘܡܢ,,,,Peshitta,PESH
27,Daniel,1,3,Daniel 1:3,14,ܦܪ̈ܬܘܝܐ,,,,Peshitta,PESH
27,Daniel,1,4,Daniel 1:4,1,ܛ̈ܠܝܐ,,,,Peshitta,PESH
