book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,ܘܗܠܝܢ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,2,ܦܬ̈ܓܡܐ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,3,ܕܐܡܪ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,4,ܡܘܫܐ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,5,ܠܟܠܗ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,6,ܐܝܣܪܝܠ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,7,ܒܥܒܪܐ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,8,ܕܝܘܪܕܢܢ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,9,ܒܡܕܒܪܐ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,10,ܒܥܪܒܐ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,11,ܠܘܩܒܠ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,12,ܣܘܦ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,13,ܒܝܬ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,14,ܦܪܢ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,15,ܘܒܝܬ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,16,ܬܦܠ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,17,ܘܠܒܢܢ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,18,ܘܚܨܪܘܬ,,,,Peshitta,PESH
5,Deuteronomy,1,1,Deuteronomy 1:1,19,ܘܪܙܗܒ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,1,ܡܪܕܐ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,2,ܚܕܥܣܪ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,3,ܝܘܡ̈ܝܢ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,4,ܡܢ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,5,ܚܘܪܝܒ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,6,ܠܛܘܪܐ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,7,ܕܣܥܝܪ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,8,ܘܥܕܡܐ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,9,ܠܪܩܡ,,,,Peshitta,PESH
5,Deuteronomy,1,2,Deuteronomy 1:2,10,ܕܓܝܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,1,ܘܗܘܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,2,ܒܫܢܬ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,3,ܐܪ̈ܒܥܝܢ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,4,ܒܝܪܚܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,5,ܕܚܕܥܣܪ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,6,ܒܚܕ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,7,ܒܝܪܚܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,8,ܡܠܠ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,9,ܡܘܫܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,10,ܥܡ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,11,ܒܢ̈ܝ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,12,ܐܝܣܪܝܠ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,13,ܟܠ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,14,ܡܕܡ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,15,ܕܦܩܕܗ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,16,ܡܪܝܐ,,,,Peshitta,PESH
5,Deuteronomy,1,3,Deuteronomy 1:3,17,ܥܠܝܗܘܢ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,1,ܡܢ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,2,ܒܬܪ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,3,ܕܩܛܠ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,4,ܠܣܝܚܘܢ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,5,ܡܠܟܐ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,6,ܕܐܡܘܪ̈ܝܐ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,7,ܕܝ̇ܬܒ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,8,ܗܘܐ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,9,ܒܚܫܒܘܢ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,10,ܘܠܥܘܓ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,11,ܡܠܟܐ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,12,ܕܡܬܢܝܢ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,13,ܕܝ̇ܬܒ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,14,ܗܘܐ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,15,ܒܥܣܬܪܘܬ,,,,Peshitta,PESH
5,Deuteronomy,1,4,Deuteronomy 1:4,16,ܘܒܐܪܕܥܝ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,1,ܒܥܒܪܐ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,2,ܕܝܘܪܕܢܢ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,3,ܒܐܪܥܐ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,4,ܕܡܘܐܒ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,5,ܫ̇ܪܝ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,6,ܡܘܫܐ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,7,ܡܦܫܩ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,8,ܢܡܘܣܐ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,9,ܗܢܐ,,,,Peshitta,PESH
5,Deuteronomy,1,5,Deuteronomy 1:5,10,ܘܐ̇ܡܪ,,,,Peshitta,PESH
5,Deuteronomy,1,6,Deuteronomy 1:6,1,ܡܪܝܐ,,,,Peshitta,PESH
5,Deuteronomy,1,6,Deuteronomy 1:6,2,ܐܠܗܢ,,,,Peshitta,PESH
5,Deuteronomy,1,6,Deuteronomy 1:6,3,ܐܡܪ,,,,Peshitta,PESH
5,Deuteronomy,1,6,Deuteronomy 1:6,4,ܠܢ,,,,Peshitta,PESH
5,Deuteronomy,1,6,Deuteronomy 1:6,5,ܒܚܘܪܝܒ,,,,Peshitta,PESH
