book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
21,Ecclesiastes,1,1,Ecclesiastes 1:1,1,ܦܬ̈ܓܡܘܗܝ,,,,Peshitta,PESH
21,Ecclesiastes,1,1,Ecclesiastes 1:1,2,ܕܩܘܗܠܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,1,Ecclesiastes 1:1,3,ܒܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,1,Ecclesiastes 1:1,4,ܕܘܝܕ,,,,Peshitta,PESH
21,Ecclesiastes,1,1,Ecclesiastes 1:1,5,ܡܠܟܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,1,Ecclesiastes 1:1,6,ܕܐܘܪܫܠܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,1,ܗܒܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,2,ܗ̈ܒܠܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,3,ܐܡܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,4,ܩܘܗܠܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,5,ܗܒܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,6,ܗ̈ܒܠܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,7,ܟܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,8,ܡܕܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,2,Ecclesiastes 1:2,9,ܗܒܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,1,ܡܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,2,ܝܘܬܪܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,3,ܠܒܪܢܫܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,4,ܒܟܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,5,ܥܡܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,6,ܕܗܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,7,ܥܡܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,8,ܬܚܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,3,Ecclesiastes 1:3,9,ܫܡܫܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,1,ܕܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,2,ܐܙܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,3,ܘܕܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,4,ܐܬܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,5,ܘܐܪܥܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,6,ܠܥܠܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,4,Ecclesiastes 1:4,7,ܩܝܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,1,ܕܢܚ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,2,ܫܡܫܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,3,ܘܥܪܒ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,4,ܫܡܫܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,5,ܘܠܐܬܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,6,ܕܕܢܚ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,7,ܗܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,8,ܬܐܒ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,9,ܕܡܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,10,ܬܡܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,11,ܬܘܒ,,,,Peshitta,PESH
21,Ecclesiastes,1,5,Ecclesiastes 1:5,12,ܢܕܢܚ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,1,ܐܙܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,2,ܠܬܝܡܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,3,ܘܡܬܟܪܟ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,4,ܠܓܪܒܝܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,5,ܡܬܟܪܟܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,6,ܡܬܟܪܟ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,7,ܘܐܙܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,8,ܪܘܚܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,9,ܘܠܚܕܪ̈ܬܗ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,10,ܬܐܒ,,,,Peshitta,PESH
21,Ecclesiastes,1,6,Ecclesiastes 1:6,11,ܪܘܚܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,1,ܟܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,2,ܢܚ̈ܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,3,ܪܡܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,4,ܒܝܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,5,ܘܝܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,6,ܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,7,ܡܬܡܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,8,ܠܐܬܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,9,ܕܐܙܠܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,10,ܢܚ̈ܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,11,ܠܬܡܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,12,ܗܢܘܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,13,ܬܝܒܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,7,Ecclesiastes 1:7,14,ܠܡܐܙܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,1,ܟܠܗܘܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,2,ܦܬ̈ܓܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,3,ܠܐܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,4,ܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,5,ܢܣܒܥ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,6,ܓܒܪܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,7,ܠܡܡܠܠܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,8,ܘܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,9,ܣܒܥܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,10,ܥܝܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,11,ܠܡܚܙܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,12,ܘܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,13,ܡܠܝܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,14,ܐܕܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,8,Ecclesiastes 1:8,15,ܠܡܫܡܥ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,1,ܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,2,ܕܗܘܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,3,ܗܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,4,ܗܘܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,5,ܘܡܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,6,ܕܐܬܥܒܕ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,7,ܗܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,8,ܡܬܥܒܕ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,9,ܘܠܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,10,ܡܕܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,11,ܚܕܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,12,ܬܚܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,9,Ecclesiastes 1:9,13,ܫܡܫܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,1,ܟܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,2,ܕܢܡܠܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,3,ܘܢܐܡܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,4,ܚܙܝ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,5,ܗܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,6,ܚܕܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,7,ܗܘ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,8,ܟܒܪ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,9,ܗܘܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,10,ܡܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,11,ܥܠܡܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,12,ܕܡܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,10,Ecclesiastes 1:10,13,ܠܩܘܕܡܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,1,ܠܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,2,ܕܘܟܪܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,3,ܠܩܕܡ̈ܝܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,4,ܘܐܦܠܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,5,ܠܐܚܪ̈ܝܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,6,ܕܗܘܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,7,ܠܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,8,ܠܗܘܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,9,ܕܘܟܪܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,10,ܥܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,11,ܐܝܠܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,12,ܕܗܘܝܢ,,,,Peshitta,PESH
21,Ecclesiastes,1,11,Ecclesiastes 1:11,13,ܠܐܚܪܝܬܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,1,ܐܢܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,2,ܩܘܗܠܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,3,ܗܘܝܬ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,4,ܡܠܟܐ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,5,ܥܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,6,ܐܝܣܪܝܠ,,,,Peshitta,PESH
21,Ecclesiastes,1,12,Ecclesiastes 1:12,7,ܒܐܘܪܫܠܡ,,,,Peshitta,PESH
21,Ecclesiastes,1,13,Ecclesiastes 1:13,1,ܝܗܒܬ,,,,Peshitta,PESH
