book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
17,Esther,1,1,Esther 1:1,1,ܘܗܘܐ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,2,ܒܝܘ̈ܡܘܗܝ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,3,ܕܐܚܫܝܪܫ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,4,ܗ̇ܘ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,5,ܐܚܫܝܪܝܫ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,6,ܕܐܡܠܟ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,7,ܡܢ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,8,ܗܘܕ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,9,ܘܥܕܡܐ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,10,ܠܟܘܫ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,11,ܥܠ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,12,ܡܐܐ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,13,ܘܥܣܪܝܢ,,,,Peshitta,PESH
17,Esther,1,1,Esther 1:1,14,ܡܕ̈ܝܢܢ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,1,ܒܝܘܡ̈ܬܐ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,2,ܗ̇ܢܘܢ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,3,ܟܕ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,4,ܝܬ̇ܒ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,5,ܗܘܐ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,6,ܡ̇ܠܟܐ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,7,ܐܚܫܝܪܝܫ̣,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,8,ܥܠ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,9,ܟܘܪܣܝܐ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,10,ܕܡܠܟܘܬܗ̇,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,11,ܕܫܘܫܢ,,,,Peshitta,PESH
17,Esther,1,2,Esther 1:2,12,ܒܝܪܬܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,1,ܒܫܢܬ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,2,ܬܠܬ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,3,ܕܡܠܟܘܬܗ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,4,ܥ̣ܒܕ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,5,ܡܫܬܝܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,6,ܪܒܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,7,ܠܟܘܠܗܘܢ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,8,ܪ̈ܘܪܒܢܘܗܝ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,9,ܘܥܒ̣̈ܕܘܗܝ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,10,ܚܝܠ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,11,ܦܪ̈ܣܝܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,12,ܘܡܕ̈ܝܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,13,ܘܦܪ̈ܬܘܝܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,14,ܘܪ̈ܘܪܒܢܘܗܝ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,15,ܕܡ̇ܠܟܐ,,,,Peshitta,PESH
17,Esther,1,3,Esther 1:3,16,ܩܕܡܘܗܝ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,1,ܘܪ̈ܘܪܒܢܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,2,ܕܡܕܝܢܬܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,3,ܟܕ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,4,ܚܘ̇ܝ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,5,ܥܘܬܪܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,6,ܘܐܝܩܪܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,7,ܕܡܠܟܘܬܗ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,8,ܘܐܝܩܪܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,9,ܕܬܫܒܘܚܬܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,10,ܕܪܒܘܬܗ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,11,ܝܘܡ̇ܬܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,12,ܣܓܝܐܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,13,ܡܐܐ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,14,ܘܬܡܢܐܝܢ,,,,Peshitta,PESH
17,Esther,1,4,Esther 1:4,15,ܝܘܡ̈ܝܢ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,1,ܘܟܕ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,2,ܫܠ̣ܡܘ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,3,ܝܘܡ̈ܬܐ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,4,ܗ̇ܢܘܢ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,5,ܥ̣ܒܕ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,6,ܡ̇ܠܟܐ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,7,ܠܟܠ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,8,ܥܡܐ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,9,ܕܐܫܬܚܪ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,10,ܒܫܘܫܢ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,11,ܒܝܪܬܐ,,,,Peshitta,PESH
17,Esther,1,5,Esther 1:5,12,ܡܢ,,,,Peshitta,PESH
