book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,ܘܗܠܝܢ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,2,ܫܡ̈ܗܐ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,3,ܕܒܢ̈ܝ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,4,ܐܝܣܪܝܠ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,5,ܕܥܠܘ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,6,ܠܡܨܪܝܢ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,7,ܥܡ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,8,ܝܥܩܘܒ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,9,ܓܒܪ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,10,ܘܒܝܬܗ,,,,Peshitta,PESH
2,Exodus,1,1,Exodus 1:1,11,ܥܠܘ,,,,Peshitta,PESH
2,Exodus,1,2,Exodus 1:2,1,ܪܘܒܝܠ,,,,Peshitta,PESH
2,Exodus,1,2,Exodus 1:2,2,ܘܫܡܥܘܢ,,,,Peshitta,PESH
2,Exodus,1,2,Exodus 1:2,3,ܘܠܘܝ,,,,Peshitta,PESH
2,Exodus,1,2,Exodus 1:2,4,ܘܝܗܘܕܐ,,,,Peshitta,PESH
2,Exodus,1,3,Exodus 1:3,1,ܘܐܝܣܟܪ,,,,Peshitta,PESH
2,Exodus,1,3,Exodus 1:3,2,ܘܙܒܘܠܘܢ,,,,Peshitta,PESH
2,Exodus,1,3,Exodus 1:3,3,ܘܒܢܝܡܝܢ,,,,Peshitta,PESH
2,Exodus,1,4,Exodus 1:4,1,ܘܕܢ,,,,Peshitta,PESH
2,Exodus,1,4,Exodus 1:4,2,ܘܢܦܬܠܝ,,,,Peshitta,PESH
2,Exodus,1,4,Exodus 1:4,3,ܘܓܕ,,,,Peshitta,PESH
2,Exodus,1,4,Exodus 1:4,4,ܘܐܫܝܪ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,1,ܘܗ̈ܘܝ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,2,ܟܠ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,3,ܢܦܫ̈ܬܐ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,4,ܕܢܦ̣ܩ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,5,ܡܢ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,6,ܚܨܗ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,7,ܕܝܥܩܘܒ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,8,ܫܒܥܝܢ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,9,ܢܦܫ̈ܢ,,,,Peshitta,PESH
2,Exodus,1,5,Exodus 1:5,10,ܘܝܘܣܦ,,,,Peshitta,PESH
