book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
26,Ezekiel,1,1,Ezekiel 1:1,1,ܘܗܘܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,2,ܒܫܢܬ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,3,ܬܠܬܝܢ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,4,ܒܚܡܫܬܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,5,ܒܝܪܚܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,6,ܪܒܝܥܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,7,ܘܐܢܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,8,ܒܓܘ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,9,ܫܒܝܬܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,10,ܗܘܝܬ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,11,ܥܠ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,12,ܢܗܪܟܒܪ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,13,ܘܐܬܦܬܚܘ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,14,ܫܡܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,15,ܘܚ̇ܙܝܬ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,16,ܚܙܘܐ,,,,Peshitta,PESH
26,Ezekiel,1,1,Ezekiel 1:1,17,ܕܐܠܗܐ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,1,ܒܚܡܫܬܐ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,2,ܒܝܪܚܐ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,3,ܒܫܢܬ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,4,ܚܡܫ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,5,ܕܫܒܝܬܗ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,6,ܕܝܘܝܟܝܢ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,7,ܡܠܟܐ,,,,Peshitta,PESH
26,Ezekiel,1,2,Ezekiel 1:2,8,ܕܝܗܘܕܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,1,ܗܘܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,2,ܦܬܓܡܗ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,3,ܕܡܪܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,4,ܥܠ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,5,ܚܙܩܝܐܝܠ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,6,ܒܪ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,7,ܒܘܙܝ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,8,ܟܗܢܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,9,ܒܐܪܥܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,10,ܕܟ̈ܠܕܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,11,ܥܠ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,12,ܢܗܪܟܒܪ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,13,ܘܗܘܬ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,14,ܥܠܝ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,15,ܬܡܢ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,16,ܐܝܕܗ,,,,Peshitta,PESH
26,Ezekiel,1,3,Ezekiel 1:3,17,ܕܡܪܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,1,ܘܚ̇ܙܝܬ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,2,ܘܗܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,3,ܪܘܚܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,4,ܕܥܠܥܠܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,5,ܐ̇ܬܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,6,ܡܢ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,7,ܓܪܒܝܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,8,ܥܢܢܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,9,ܪܒܬܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,10,ܘܢܘܪܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,11,ܕܡܬܓܘܙܠܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,12,ܘܡܙܗܪܐ,,,,Peshitta,PESH
26,Ezekiel,1,4,Ezekiel 1:4,13,ܚܕܪ̈ܝܗ̇,,,,Peshitta,PESH
