book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
15,Ezra,1,1,Ezra 1:1,1,ܒܫܢܬ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,2,ܚܕܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,3,ܠܟܘܪܫ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,4,ܡܠܟܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,5,ܕܦܪܣ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,6,ܠܫܘܠܡ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,7,ܦܬܓܡܗ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,8,ܕܡܪܝܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,9,ܡܢ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,10,ܦܬܓܡܗ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,11,ܕܐܪܡܝܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,12,ܢܒܝܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,13,ܐܥܝܪ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,14,ܡܪܝܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,15,ܪܘܚܗ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,16,ܕܡܠܟܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,17,ܕܦܪܣ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,18,ܘܐܥܒܪ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,19,ܩܠܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,20,ܒܟܠܗ̇,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,21,ܡܠܟܘܬܗ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,22,ܘܐܦ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,23,ܒܟܬܒܐ,,,,Peshitta,PESH
15,Ezra,1,1,Ezra 1:1,24,ܐܡܪ,,,,Peshitta,PESH
15,Ezra,1,2,Ezra 1:2,1,ܗܟܢܐ,,,,Peshitta,PESH
15,Ezra,1,2,Ezra 1:2,2,ܐܡ̇ܪ,,,,Peshitta,PESH
15,Ezra,1,2,Ezra 1:2,3,ܟܘܪܫ,,,,Peshitta,PESH
