book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
1,Genesis,1,1,Genesis 1:1,1,ܒܪܫܝܬ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,2,ܒܪܐ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,3,ܐܠܗܐ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,4,ܝܬ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,5,ܫܡܝܐ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,6,ܘܝܬ,,,,Peshitta,PESH
1,Genesis,1,1,Genesis 1:1,7,ܐܪܥܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,1,ܐܪܥܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,2,ܗܘܬ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,3,ܬܘܗ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,4,ܘܒܘܗ̇,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,5,ܘܚܫܘܟܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,6,ܥܠ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,7,ܐ̈ܦܝ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,8,ܬܗܘܡܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,9,ܘܪܘܚܗ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,10,ܕܐܠܗܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,11,ܡܪܚܦܐ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,12,ܥܠ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,13,ܐ̈ܦܝ,,,,Peshitta,PESH
1,Genesis,1,2,Genesis 1:2,14,ܡ̈ܝܐ,,,,Peshitta,PESH
1,Genesis,1,3,Genesis 1:3,1,ܘܐܡ̣ܪ,,,,Peshitta,PESH
1,Genesis,1,3,Genesis 1:3,2,ܐܠܗܐ,,,,Peshitta,PESH
