book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
35,Habakkuk,1,1,Habakkuk 1:1,1,ܚܙܘܐ,,,,Peshitta,PESH
35,Habakkuk,1,1,Habakkuk 1:1,2,ܕܚܙܐ,,,,Peshitta,PESH
35,Habakkuk,1,1,Habakkuk 1:1,3,ܚܒܩܘܩ,,,,Peshitta,PESH
35,Habakkuk,1,1,Habakkuk 1:1,4,ܢܒܝܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,1,ܥܕܡܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,2,ܠܐܡܬܝ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,3,ܡܪܝܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,4,ܓܥܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,5,ܐܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,6,ܘܠܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,7,ܫܡܥ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,8,ܐܢܬ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,9,ܘܩܥܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,10,ܐܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,11,ܠܘܬܟ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,12,ܥܠ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,13,ܚ̈ܛܘܦܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,14,ܘܠܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,15,ܡܦܨܐ,,,,Peshitta,PESH
35,Habakkuk,1,2,Habakkuk 1:2,16,ܐܢܬ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,1,ܠܡܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,2,ܚܘܝܬܢܝ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,3,ܥܘ̣ܠܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,4,ܘܥܬܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,5,ܘܚܙܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,6,ܐܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,7,ܚܛܘܦܝܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,8,ܘܒܝܫܬܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,9,ܩܕܡܝ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,10,ܗܘܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,11,ܕܝܢ̣ܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,12,ܘܕܝ̇ܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,13,ܩܒܠ,,,,Peshitta,PESH
35,Habakkuk,1,3,Habakkuk 1:3,14,ܫܘܚܕܐ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,1,ܡܛܠ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,2,ܗܢܐ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,3,ܦܓ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,4,ܢܡܘܣܐ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,5,ܘܠܐ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,6,ܢܦܩ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,7,ܕܝܢ̣ܐ,,,,Peshitta,PESH
35,Habakkuk,1,4,Habakkuk 1:4,8,ܒܙܟܝܘܬܐ,,,,Peshitta,PESH
