book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
37,Haggai,1,1,Haggai 1:1,1,ܒܫܢܬ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,2,ܬܪ̈ܬܝܢ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,3,ܕܕܪܝܘܫ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,4,ܡܠܟܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,5,ܒܝܪܚܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,6,ܫܬܝܬܝܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,7,ܒܚܕ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,8,ܒܝܪܚܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,9,ܗܘܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,10,ܦܬܓܡܗ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,11,ܕܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,12,ܒܝܕ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,13,ܚܓܝ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,14,ܢܒܝܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,15,ܥܠ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,16,ܙܘܪܒܒܠ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,17,ܒܪ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,18,ܫܠܬܐܝܠ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,19,ܪܒܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,20,ܕܝܗܘܕܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,21,ܘܥܠ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,22,ܝܫܘܥ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,23,ܒܪ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,24,ܝܘܙܕܩ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,25,ܟܗܢܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,26,ܪܒܐ,,,,Peshitta,PESH
37,Haggai,1,1,Haggai 1:1,27,ܠܡܐܡܪ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,1,ܗܟܢܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,2,ܐܡܪ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,3,ܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,4,ܚܝܠܬܢܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,5,ܥܡܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,6,ܗܢܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,7,ܐܡܪܝܢ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,8,ܠܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,9,ܡܛܝ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,10,ܙܒܢܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,11,ܕܢܬܒܢܐ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,12,ܒܝܬܗ,,,,Peshitta,PESH
37,Haggai,1,2,Haggai 1:2,13,ܕܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,1,ܘܗܘܐ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,2,ܦܬܓܡܗ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,3,ܕܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,4,ܒܝܕ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,5,ܚܓܝ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,6,ܢܒܝܐ,,,,Peshitta,PESH
37,Haggai,1,3,Haggai 1:3,7,ܠܡܐܡܪ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,1,ܙܒܢܐ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,2,ܗܘ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,3,ܠܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,4,ܗܢܐ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,5,ܕܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,6,ܝܬܒܝܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,7,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,8,ܒܒ̈ܬܝܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,9,ܟܕ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,10,ܡܛܠܠܝܢ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,11,ܘܒܝܬܐ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,12,ܗܢܐ,,,,Peshitta,PESH
37,Haggai,1,4,Haggai 1:4,13,ܚܪܒ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,1,ܡܟܝܠ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,2,ܗܟܢܐ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,3,ܐܡܪ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,4,ܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,5,ܚܝܠܬܢܐ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,6,ܣܝܡܘ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,7,ܠܒ̈ܘܬܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,8,ܥܠ,,,,Peshitta,PESH
37,Haggai,1,5,Haggai 1:5,9,ܐܘܪ̈ܚܬܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,1,ܕܙܪܥܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,2,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,3,ܣܓܝ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,4,ܘܚܡܠܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,5,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,6,ܩܠܝܠ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,7,ܘܐܟܠܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,8,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,9,ܘܠܐ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,10,ܣܒܥܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,11,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,12,ܘܫܬܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,13,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,14,ܘܠܐ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,15,ܪܘܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,16,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,17,ܘܠܒܫܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,18,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,19,ܘܠܐ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,20,ܫܚܢܝܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,21,ܐܢܬܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,22,ܘܐܝܢܐ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,23,ܕܐܝܬ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,24,ܒܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,25,ܕܡܬܬܓܪ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,26,ܡܬܬܓܪ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,27,ܠܨܪܪܐ,,,,Peshitta,PESH
37,Haggai,1,6,Haggai 1:6,28,ܢܩܝܒܐ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,1,ܗܟܢܐ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,2,ܐܡܪ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,3,ܡܪܝܐ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,4,ܚܝܠܬܢܐ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,5,ܣܝܡܘ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,6,ܠܒ̈ܘܬܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,7,ܥܠ,,,,Peshitta,PESH
37,Haggai,1,7,Haggai 1:7,8,ܐܘܪ̈ܚܬܟܘܢ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,1,ܣܩܘ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,2,ܠܛܘܪܐ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,3,ܐܝܬܘ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,4,ܩܝ̈ܣܐ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,5,ܘܒܢܘ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,6,ܒܝܬܐ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,7,ܗܢܐ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,8,ܘܐܨܛܒܐ,,,,Peshitta,PESH
37,Haggai,1,8,Haggai 1:8,9,ܒܗ,,,,Peshitta,PESH
