book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
28,Hosea,1,1,Hosea 1:1,1,ܦܬܓܡܗ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,2,ܕܡܪܝܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,3,ܕܗܘܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,4,ܥܠ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,5,ܗܘܫܥ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,6,ܒܪ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,7,ܒܪܝ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,8,ܒܝܘܡܘܗܝ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,9,ܕܥܘܙܝܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,10,ܘܕܝܘܬܡ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,11,ܘܕܐܚܙ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,12,ܘܕܚܙܩܝܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,13,ܡܠܟܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,14,ܕܝܗܘܕܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,15,ܘܒܝܘܡܘܗܝ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,16,ܕܝܘܪܒܥܡ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,17,ܒܪ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,18,ܝܘܐܫ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,19,ܡܠܟܐ,,,,Peshitta,PESH
28,Hosea,1,1,Hosea 1:1,20,ܕܐܝܣܪܐܝܠ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,1,ܪܝܫ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,2,ܦܬܓܡܗ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,3,ܕܡܪܝܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,4,ܕܗܘܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,5,ܥܠ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,6,ܗܘܫܥ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,7,ܐܡܪ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,8,ܡܪܝܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,9,ܠܗܘܫܥ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,10,ܙܠ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,11,ܣܒ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,12,ܠܟ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,13,ܐܢܬܬܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,14,ܕܡܙܢܝܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,15,ܘܒܢܝܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,16,ܕܡܙܢܝܢ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,17,ܡܛܠ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,18,ܕܡܙܢܝܘ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,19,ܬܙܢܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,20,ܐܪܥܐ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,21,ܡܢ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,22,ܒܬܪܗ,,,,Peshitta,PESH
28,Hosea,1,2,Hosea 1:2,23,ܕܡܪܝܐ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,1,ܘܐܙܠ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,2,ܘܢܣܒ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,3,ܠܗ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,4,ܠܓܡܪ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,5,ܒܪܬ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,6,ܕܒܠܝܡ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,7,ܘܒܛܢܬ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,8,ܘܝܠܕܬ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,9,ܠܗ,,,,Peshitta,PESH
28,Hosea,1,3,Hosea 1:3,10,ܒܪܐ,,,,Peshitta,PESH
28,Hosea,1,4,Hosea 1:4,1,ܘܐܡܪ,,,,Peshitta,PESH
28,Hosea,1,4,Hosea 1:4,2,ܠܗ,,,,Peshitta,PESH
28,Hosea,1,4,Hosea 1:4,3,ܡܪܝܐ,,,,Peshitta,PESH
28,Hosea,1,4,Hosea 1:4,4,ܩܪܝ,,,,Peshitta,PESH
28,Hosea,1,4,Hosea 1:4,5,ܫܡܗ,,,,Peshitta,PESH
