book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
23,Isaiah,1,1,Isaiah 1:1,1,ܚܙܘܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,2,ܕܐܫܥܝܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,3,ܒܪ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,4,ܐܡܘܨ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,5,ܕܚܙܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,6,ܥܠ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,7,ܝܗܘܕܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,8,ܘܥܠ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,9,ܐܘܪܫܠܡ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,10,ܒܝ̈ܘܡܝ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,11,ܥܘܙܝܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,12,ܘܝܘܬܡ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,13,ܘܐܚܙ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,14,ܘܚܙܩܝܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,15,ܡ̈ܠܟܐ,,,,Peshitta,PESH
23,Isaiah,1,1,Isaiah 1:1,16,ܕܝܗܘܕܐ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,1,ܫܡܥܘ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,2,ܫܡܝܐ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,3,ܘܨܘܬܝ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,4,ܐܪܥܐ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,5,ܡܛܠ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,6,ܕܡܪܝܐ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,7,ܡܠܠ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,8,ܒ̈ܢܝܐ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,9,ܪܒܝܬ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,10,ܘܪܡܪܡ̇ܬ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,11,ܘܗܢܘܢ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,12,ܐܥܠܝܘ,,,,Peshitta,PESH
23,Isaiah,1,2,Isaiah 1:2,13,ܒܝ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,1,ܐܝܕܥ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,2,ܬܘܪܐ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,3,ܩܢܝܗ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,4,ܘܚܡܪܐ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,5,ܐܘܪܝܐ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,6,ܕܡܪܗ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,7,ܘܐܝܣܪܝܠ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,8,ܠܐ,,,,Peshitta,PESH
23,Isaiah,1,3,Isaiah 1:3,9,ܝܕܥ,,,,Peshitta,PESH
