book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
24,Jeremiah,1,1,Jeremiah 1:1,1,ܦܬ̈ܓܡܘܗܝ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,2,ܕܐܪܡܝܐ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,3,ܒܪ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,4,ܚܠܩܝܐ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,5,ܡܢ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,6,ܟܗ̈ܢܐ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,7,ܕܒܥܢܬܘܬ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,8,ܕܒܐܪܥܐ,,,,Peshitta,PESH
24,Jeremiah,1,1,Jeremiah 1:1,9,ܕܒܢܝܡܝܢ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,1,ܕܗܘܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,2,ܦܬܓܡܗ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,3,ܕܡܪܝܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,4,ܥܠܘܗܝ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,5,ܒܝ̈ܘܡܘܗܝ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,6,ܕܝܘܫܝܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,7,ܒܪ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,8,ܐܡܘܢ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,9,ܡܠܟܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,10,ܕܝܗܘܕܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,11,ܒܬܠܬܥܣܪܐ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,12,ܫܢܝ̈ܢ,,,,Peshitta,PESH
24,Jeremiah,1,2,Jeremiah 1:2,13,ܠܡܠܟܘܬܗ,,,,Peshitta,PESH
24,Jeremiah,1,3,Jeremiah 1:3,1,ܘܗܘܐ,,,,Peshitta,PESH
