book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
18,Job,1,1,Job 1:1,1,ܓܒܪܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,2,ܚܕ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,3,ܐܝܬ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,4,ܗܘܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,5,ܒܐܪܥܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,6,ܕܥܘܨ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,7,ܐܝܘܒ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,8,ܫܡܗ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,9,ܓܒܪ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,10,ܗܘܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,11,ܬܡܝܡ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,12,ܘܙܕܝܩ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,13,ܘܕ̇ܚܠ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,14,ܠܐܠܗܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,15,ܘܣ̇ܛܐ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,16,ܡܢ,,,,Peshitta,PESH
18,Job,1,1,Job 1:1,17,ܒܝܫܬܐ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,1,ܘܐܬܝܠܕܘ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,2,ܠܗ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,3,ܫܒܥܐ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,4,ܒܢܝ̈ܢ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,5,ܘܬܠܬ,,,,Peshitta,PESH
18,Job,1,2,Job 1:2,6,ܒ̈ܢܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,1,ܘܗܘܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,2,ܩܢܝܢܗ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,3,ܫܒܥܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,4,ܐ̈ܠܦܝܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,5,ܥܢܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,6,ܘܬܠܬܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,7,ܐ̈ܠܦܝܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,8,ܓܡ̈ܠܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,9,ܘܚܡܫܡܐܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,10,ܦܕܢܝ̈ܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,11,ܕܬܘܪ̈ܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,12,ܘܚܡܫܡܐܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,13,ܐ̈ܬܢܝܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,14,ܘܥܒܕܬܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,15,ܣܘܓܐܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,16,ܕܛܒ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,17,ܘܓܒܪܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,18,ܗ̇ܘ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,19,ܪܒ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,20,ܗܘܐ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,21,ܡܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,22,ܟܠܗܘܢ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,23,ܒܢ̈ܝ,,,,Peshitta,PESH
18,Job,1,3,Job 1:3,24,ܡܕܢܚܐ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,1,ܘܐܙܠܝܢ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,2,ܗܘܘ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,3,ܒܢ̈ܘܗܝ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,4,ܘܥܒܕܝܢ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,5,ܡܫܬܝܐ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,6,ܒܝܬ,,,,Peshitta,PESH
18,Job,1,4,Job 1:4,7,ܓܒܪ,,,,Peshitta,PESH
