book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
29,Joel,1,1,Joel 1:1,1,ܦܬܓܡܗ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,2,ܕܡܪܝܐ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,3,ܕܗܘܐ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,4,ܥܠ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,5,ܝܘܐܝܠ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,6,ܒܪ,,,,Peshitta,PESH
29,Joel,1,1,Joel 1:1,7,ܒܬܘܐܝܠ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,1,ܫܡܥܘ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,2,ܗܕܐ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,3,ܩܫܝ̈ܫܐ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,4,ܘܨܘܬܘ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,5,ܟܘܠ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,6,ܥܡܘܪ̈ܝܗ̇,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,7,ܕܐܪܥܐ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,8,ܐܢ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,9,ܗܘܬ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,10,ܐܝܟ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,11,ܗܕܐ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,12,ܒܝ̈ܘܡܝܟܘܢ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,13,ܐܘ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,14,ܒܝ̈ܘܡܝ,,,,Peshitta,PESH
29,Joel,1,2,Joel 1:2,15,ܐ̈ܒܗܝܟܘܢ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,1,ܐܫܬܥܘ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,2,ܥܠܝܗ̇,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,3,ܠܒ̈ܢܝܟܘܢ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,4,ܘܒ̈ܢܝܟܘܢ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,5,ܠܒ̈ܢܝܗܘܢ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,6,ܘܒܢܝ̈ܗܘܢ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,7,ܠܕܪܐ,,,,Peshitta,PESH
29,Joel,1,3,Joel 1:3,8,ܐܚܪܢܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,1,ܕܡܕܡ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,2,ܕܐܘܬܪ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,3,ܡܫܘܛܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,4,ܐܟܠ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,5,ܩܡܨܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,6,ܦܪܚܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,7,ܘܡܕܡ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,8,ܕܐܘܬܪ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,9,ܩܡܨܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,10,ܦܪܚܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,11,ܐܟܠ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,12,ܩܡܨܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,13,ܙܚܠܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,14,ܘܡܕܡ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,15,ܕܐܘܬܪ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,16,ܙܚܠܐ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,17,ܐܟܠ,,,,Peshitta,PESH
29,Joel,1,4,Joel 1:4,18,ܨܪܨܘܪܐ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,1,ܐܬܬܥܝܪܘ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,2,ܪ̈ܘܝܐ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,3,ܘܒܟܘ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,4,ܘܐܝܠܠܘ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,5,ܟܘܠ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,6,ܫܬ̈ܝܝ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,7,ܚܡܪܐ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,8,ܥܠ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,9,ܚܡܪܐ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,10,ܕܥܒܪ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,11,ܡܢ,,,,Peshitta,PESH
29,Joel,1,5,Joel 1:5,12,ܦܘܡܟܘܢ,,,,Peshitta,PESH
29,Joel,1,6,Joel 1:6,1,ܡܛܠ,,,,Peshitta,PESH
