book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
32,Jonah,1,1,Jonah 1:1,1,ܘܗܘܐ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,2,ܦܬܓܡܗ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,3,ܕܡܪܝܐ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,4,ܥܠ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,5,ܝܘܢܢ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,6,ܒܪ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,7,ܡܬܝ,,,,Peshitta,PESH
32,Jonah,1,1,Jonah 1:1,8,ܠܡܐܡܪ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,1,ܩܘܡ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,2,ܙܠ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,3,ܠܢܝܢܘܐ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,4,ܡܕܝܢܬܐ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,5,ܪܒܬܐ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,6,ܘܐܟܪܙ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,7,ܥܠܝܗ̇,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,8,ܡܛܠ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,9,ܕܣܠܩܬ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,10,ܒܝܫܘܬܗܘܢ,,,,Peshitta,PESH
32,Jonah,1,2,Jonah 1:2,11,ܩܕܡܝ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,1,ܘܩܡ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,2,ܝܘܢܢ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,3,ܠܡܥܪܩ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,4,ܠܬܪܫܝܫ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,5,ܡܢ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,6,ܩܕܡ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,7,ܡܪܝܐ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,8,ܘܢܚܬ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,9,ܠܝܘܦܐ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,10,ܘܐܫܟܚ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,11,ܐܠܦܐ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,12,ܕܥܐܠܐ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,13,ܠܬܪܫܝܫ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,14,ܘܝܗܒ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,15,ܐܓܪܐ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,16,ܘܢܚܬ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,17,ܠܗ̇,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,18,ܠܡܥܠ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,19,ܥܡܗܘܢ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,20,ܠܬܪܫܝܫ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,21,ܠܡܥܪܩ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,22,ܡܢ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,23,ܩܕܡ,,,,Peshitta,PESH
32,Jonah,1,3,Jonah 1:3,24,ܡܪܝܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,1,ܘܡܪܝܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,2,ܐܪܡܝ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,3,ܪܘܚܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,4,ܪܒܬܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,5,ܒܝܡܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,6,ܘܗܘܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,7,ܡܚܫܘܠܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,8,ܪܒܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,9,ܒܝܡܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,10,ܘܐܠܦܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,11,ܡܬܗܦܟܐ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,12,ܗܘܬ,,,,Peshitta,PESH
32,Jonah,1,4,Jonah 1:4,13,ܠܡܬܬܒܪܘ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,1,ܘܕܚܠܘ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,2,ܡ̈ܠܚܐ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,3,ܘܓܥܘ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,4,ܐܢܫ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,5,ܠܘܬ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,6,ܐܠܗܗ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,7,ܘܫܕܘ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,8,ܡܐ̈ܢܐ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,9,ܡܢ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,10,ܐܠܦܐ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,11,ܒܝܡܐ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,12,ܕܢܩܠܘܢ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,13,ܡܢܗܘܢ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,14,ܝܘܢܢ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,15,ܕܝܢ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,16,ܢܚܬ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,17,ܠܗ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,18,ܠܐܫܬܗ̇,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,19,ܕܐܠܦܐ,,,,Peshitta,PESH
32,Jonah,1,5,Jonah 1:5,20,ܘܕܡܟ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,1,ܘܩܪܒ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,2,ܠܘܬܗ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,3,ܪܒ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,4,ܡ̈ܠܚܐ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,5,ܘܐܡܪ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,6,ܠܗ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,7,ܡܢܐ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,8,ܕܡܟ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,9,ܐܢܬ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,10,ܩܘܡ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,11,ܩܪܝ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,12,ܠܐܠܗܟ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,13,ܟܒܪ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,14,ܢܦܨܝܢ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,15,ܐܠܗܐ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,16,ܘܠܐ,,,,Peshitta,PESH
32,Jonah,1,6,Jonah 1:6,17,ܢܐܒܕ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,1,ܘܐܡܪܘ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,2,ܓܒܪ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,3,ܠܚܒܪܗ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,4,ܬܘ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,5,ܢܪܡܐ,,,,Peshitta,PESH
32,Jonah,1,7,Jonah 1:7,6,ܦܨ̈ܐ,,,,Peshitta,PESH
