book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
6,Joshua,1,1,Joshua 1:1,1,ܘܡܢ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,2,ܒܬܪ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,3,ܕܡܝܬ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,4,ܡܘܫܐ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,5,ܥܒܕܗ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,6,ܕܡܪܝܐ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,7,ܐܡܪ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,8,ܡܪܝܐ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,9,ܠܝܫܘܥ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,10,ܒܪܢܘܢ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,11,ܡܫܡܫܢܗ,,,,Peshitta,PESH
6,Joshua,1,1,Joshua 1:1,12,ܕܡܘܫܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,1,ܡܘܫܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,2,ܥܒܕܝ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,3,ܡܝܬ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,4,ܡܟܝܠ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,5,ܩܘܡ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,6,ܥܒܪ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,7,ܝܘܪܕܢܢ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,8,ܗܢܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,9,ܐܢܬ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,10,ܘܟܠܗ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,11,ܥܡܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,12,ܗܢܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,13,ܠܐܪܥܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,14,ܕܝ̇ܗܒ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,15,ܐܢܐ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,16,ܠܗܘܢ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,17,ܠܒܢ̈ܝ,,,,Peshitta,PESH
6,Joshua,1,2,Joshua 1:2,18,ܐܝܣܪܝܠ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,1,ܟܠ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,2,ܐܬܪܐ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,3,ܕܬܕܪܘܟ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,4,ܒܗ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,5,ܦܣܬܐ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,6,ܕܪܓܠܟܘܢ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,7,ܠܟܘܢ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,8,ܢܗܘܐ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,9,ܐܝܟ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,10,ܕܐܡ̇ܪܬ,,,,Peshitta,PESH
6,Joshua,1,3,Joshua 1:3,11,ܠܡܘܫܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,1,ܡܢ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,2,ܡܕܒܪܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,3,ܘܛܘܪܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,4,ܕܠܒܢܢ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,5,ܗܢܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,6,ܘܥܕܡܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,7,ܠܦܪܬ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,8,ܢܗܪܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,9,ܪܒܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,10,ܘܟܠܗ̇,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,11,ܐܪܥܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,12,ܕܚ̈ܬܝܐ,,,,Peshitta,PESH
6,Joshua,1,4,Joshua 1:4,13,ܘܥܕܡܐ,,,,Peshitta,PESH
