book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
7,Judges,1,1,Judges 1:1,1,ܘܗܘܐ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,2,ܡܢ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,3,ܒܬܪ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,4,ܕܡܝܬ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,5,ܝܫܘܥ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,6,ܒܪܢܘܢ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,7,ܥܒܕܗ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,8,ܕܡܪܝܐ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,9,ܫܐܠܘ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,10,ܒܢ̈ܝ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,11,ܐܝܣܪܝܠ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,12,ܒܡܪܝܐ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,13,ܘܐܡܪ̈ܝܢ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,14,ܡܢܘ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,15,ܢܣܩ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,16,ܠܢ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,17,ܥܠ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,18,ܟܢܥܢ̈ܝܐ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,19,ܒܪܝܫܐ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,20,ܠܡܬܟܬܫܘ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,21,ܥܡܗܘܢ,,,,Peshitta,PESH
7,Judges,1,1,Judges 1:1,22,ܒܩܪܒܐ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,1,ܘܐܡܪ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,2,ܡܪܝܐ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,3,ܝܗܘܕܐ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,4,ܢܣܩ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,5,ܗܐ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,6,ܐܫܠܡܬܗ̇,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,7,ܠܐܪܥܐ,,,,Peshitta,PESH
7,Judges,1,2,Judges 1:2,8,ܒܐ̈ܝܕܘܗܝ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,1,ܘܐܡܪ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,2,ܝܗܘܕܐ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,3,ܠܫܡܥܘܢ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,4,ܐܚܘܗܝ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,5,ܣܩ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,6,ܥܡܝ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,7,ܒܦܨܬܝ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,8,ܘܢܬܟܬܫ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,9,ܥܡ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,10,ܟܢܥ̈ܢܝܐ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,11,ܘܐܙܠ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,12,ܐܦ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,13,ܐܢܐ,,,,Peshitta,PESH
7,Judges,1,3,Judges 1:3,14,ܥܡܟ,,,,Peshitta,PESH
