book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
25,Lamentations,1,1,Lamentations 1:1,1,ܐܝܟܢܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,2,ܝܬ̣ܒܬ̇,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,3,ܒܠܚܘܕܝܗ̇,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,4,ܡܕܝܢܬܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,5,ܣܓܝܐܬ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,6,ܒܥܡܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,7,ܗܘ̣ܬ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,8,ܐܝܟ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,9,ܐܪܡܠܬܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,10,ܣܓܝܐܬ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,11,ܒܥܡ̈ܡܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,12,ܪܫܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,13,ܕܡܕܝܢ̈ܬܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,14,ܗܘ̣ܬ̇,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,15,ܠܡܕܐܬܐ,,,,Peshitta,PESH
25,Lamentations,1,1,Lamentations 1:1,16,ܰ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,1,ܒܟ̣ܬ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,2,ܒܠܠܝܐ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,3,ܘܕܡ̈ܥܝܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,4,ܫܚ̣ܠ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,5,ܥܠ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,6,ܦܟܝ̈ܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,7,ܘܠܝܬ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,8,ܠܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,9,ܡܒܝܐܢܐ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,10,ܡܢ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,11,ܟܠܗܘܢ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,12,ܪ̈ܚܡ̇ܝܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,13,ܟܘܠܗܘܢ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,14,ܪ̈ܚܡ̇ܝܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,15,ܕܓܠܘ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,16,ܒܗ̣̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,17,ܘܗܘ̣ܘ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,18,ܠܗ̇,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,19,ܒ̈ܥܠܕܒܒܐ,,,,Peshitta,PESH
25,Lamentations,1,2,Lamentations 1:2,20,ܰ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,1,ܓܠܝ̣ܬ̇,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,2,ܝܗܘܕܐ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,3,ܡܢ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,4,ܫܘܥܒܕܐ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,5,ܘܡܢ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,6,ܣܘܓܐܬ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,7,ܥܒ̣ܕܘܬܐ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,8,ܗ̣ܝ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,9,ܝܬܒ̣ܬ̇,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,10,ܒܝܬ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,11,ܥܡ̈ܡܐ̣,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,12,ܘܠܐ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,13,ܐܫ̣ܟܚܬ̇,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,14,ܠܗ̇,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,15,ܢܝܚܐ,,,,Peshitta,PESH
25,Lamentations,1,3,Lamentations 1:3,16,ܟܘܠܗܘܢ,,,,Peshitta,PESH
