book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,1,1,Leviticus 1:1,1,ܘܩܪܐ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,2,ܡܪܝܐ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,3,ܠܡܘܫܐ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,4,ܘܡܠܠ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,5,ܥܡܗ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,6,ܡܢ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,7,ܡܫܟܢܙܒܢܐ,,,,Peshitta,PESH
3,Leviticus,1,1,Leviticus 1:1,8,ܠܡܐܡܪ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,1,ܡܠܠ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,2,ܥܡ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,3,ܒܢ̈ܝ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,4,ܐܝܣܪܝܠ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,5,ܘܐܡܪ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,6,ܠܗܘܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,7,ܐܢܫ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,8,ܐܢܫ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,9,ܡܢܟܘܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,10,ܟܕ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,11,ܢܩܪܒ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,12,ܩܘܪܒܢܗ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,13,ܠܡܪܝܐ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,14,ܡܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,15,ܒܥܝܪ̈ܐ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,16,ܡܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,17,ܬܘܪ̈ܐ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,18,ܘܡܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,19,ܥܢܐ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,20,ܬܩܪܒܘܢ,,,,Peshitta,PESH
3,Leviticus,1,2,Leviticus 1:2,21,ܩܘܪ̈ܒܢܝܟܘܢ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,1,ܐܢ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,2,ܥܠܬܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,3,ܩܘܪܒܢܗ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,4,ܡܢ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,5,ܬܘܪ̈ܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,6,ܕܟܪܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,7,ܕܠܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,8,ܡܘܡ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,9,ܢܩܪܒܝܘܗܝ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,10,ܠܬܪܥܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,11,ܕܡܫܟܢ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,12,ܙܒܢܐ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,13,ܘܢܩܪܒܝܘܗܝ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,14,ܠܡܬܪܥܝܘ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,15,ܠܗ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,16,ܩܕܡ,,,,Peshitta,PESH
3,Leviticus,1,3,Leviticus 1:3,17,ܡܪܝܐ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,1,ܘܢܣܡܘܟ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,2,ܐܝܕܗ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,3,ܥܠ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,4,ܪܝܫ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,5,ܩܘܪܒܢܗ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,6,ܘܢܬܪܥܐ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,7,ܠܗ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,8,ܠܡܚܣܝܘ,,,,Peshitta,PESH
3,Leviticus,1,4,Leviticus 1:4,9,ܥܠܘܗܝ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,1,ܘܢܟܘܣ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,2,ܒܪ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,3,ܒܩܪܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,4,ܩܕܡ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,5,ܡܪܝܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,6,ܘܢܩܪܒܘܢ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,7,ܟܗ̈ܢܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,8,ܒܢ̈ܝ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,9,ܐܗܪܘܢ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,10,ܕܡܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,11,ܘܢܪܙܦܘܢ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,12,ܕܡܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,13,ܥܠ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,14,ܡܕܒܚܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,15,ܟܕ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,16,ܚ̇ܕܪ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,17,ܒܬܪܥܐ,,,,Peshitta,PESH
3,Leviticus,1,5,Leviticus 1:5,18,ܕܡܫܟܢܙܒܢܐ,,,,Peshitta,PESH
3,Leviticus,1,6,Leviticus 1:6,1,ܘܢܫܛܝܘܗܝ,,,,Peshitta,PESH
3,Leviticus,1,6,Leviticus 1:6,2,ܠܝܩܕܐ,,,,Peshitta,PESH
3,Leviticus,1,6,Leviticus 1:6,3,ܘܢܦܫܚ,,,,Peshitta,PESH
3,Leviticus,1,6,Leviticus 1:6,4,ܗ̈ܕܡܘܗܝ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,1,ܘܢܬܠܘܢ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,2,ܟܗ̈ܢܐ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,3,ܒܢ̈ܝ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,4,ܐܗܪܘܢ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,5,ܢܘܪܐ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,6,ܥܠ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,7,ܡܕܒܚܐ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,8,ܘܢܟܫܘܢ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,9,ܩܝ̈ܣܐ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,10,ܥܠ,,,,Peshitta,PESH
3,Leviticus,1,7,Leviticus 1:7,11,ܢܘܪܐ,,,,Peshitta,PESH
3,Leviticus,1,8,Leviticus 1:8,1,ܘܢܣܕܪܘܢ,,,,Peshitta,PESH
3,Leviticus,1,8,Leviticus 1:8,2,ܟܗ̈ܢܐ,,,,Peshitta,PESH
