book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
39,Malachi,1,1,Malachi 1:1,1,ܚܙܘܐ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,2,ܕܦܬܓܡ̈ܘܗܝ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,3,ܕܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,4,ܥܠ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,5,ܐܝܣܪܝܠ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,6,ܒܝܕ,,,,Peshitta,PESH
39,Malachi,1,1,Malachi 1:1,7,ܡܠܐܟܝ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,1,ܪܚܡܬܟܘܢ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,2,ܐܡܪ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,3,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,4,ܘܐܡܪܝܢ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,5,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,6,ܒܡܢܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,7,ܪܚܡܬܢ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,8,ܕܠܡܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,9,ܥܣܘ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,10,ܠܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,11,ܗܘܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,12,ܐܚܘܗܝ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,13,ܕܝܥܩܘܒ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,14,ܐܡܪ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,15,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,16,ܕܪܚܡܬ,,,,Peshitta,PESH
39,Malachi,1,2,Malachi 1:2,17,ܠܝܥܩܘܒ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,1,ܘܠܥܣܘ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,2,ܣܢܝܬ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,3,ܥܒܕܬ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,4,ܛܘܪ̈ܘܗܝ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,5,ܠܚܒܠܐ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,6,ܘܝܪܬܘܬܗ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,7,ܠܕܝܪ̈ܐ,,,,Peshitta,PESH
39,Malachi,1,3,Malachi 1:3,8,ܕܡܕܒܪܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,1,ܘܐܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,2,ܢܐܡܪܘܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,3,ܐ̈ܕܘܡܝܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,4,ܐܬܡܣܟܢܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,5,ܢܗܦܘܟ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,6,ܢܒܢܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,7,ܚܪ̈ܒܬܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,8,ܗܟܢܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,9,ܐܡܪ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,10,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,11,ܗܢܘܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,12,ܢܒܢܘܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,13,ܘܐܢܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,14,ܐܣܚܘܦ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,15,ܘܢܩܪܘܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,16,ܐܢܘܢ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,17,ܬܚܘܡܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,18,ܕܚܛܝܬܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,19,ܘܥܡܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,20,ܕܪܓܙ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,21,ܥܠܘܗܝ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,22,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,4,Malachi 1:4,23,ܠܥܠܡ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,1,ܘܥܝܢ̈ܝܟܘܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,2,ܢܚ̈ܙܝܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,3,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,4,ܕܝܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,5,ܬܐܡܪܘܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,6,ܢܐܪܒ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,7,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,8,ܠܥܠ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,9,ܡܢ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,10,ܬܚܘܡܐ,,,,Peshitta,PESH
39,Malachi,1,5,Malachi 1:5,11,ܕܐܝܣܪܝܠ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,1,ܒܪܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,2,ܡܝܩܪ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,3,ܠܐܒܘܗܝ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,4,ܘܥܒܕܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,5,ܠܡܪܗ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,6,ܐܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,7,ܐܒܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,8,ܐܢܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,9,ܐܝܟܘ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,10,ܕܡܝܩܪܝܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,11,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,12,ܠܝ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,13,ܘܐܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,14,ܡܪܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,15,ܐܢܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,16,ܐܝܟܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,17,ܗܘ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,18,ܕܕܚܠܝܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,19,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,20,ܡܢܝ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,21,ܐܡܪ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,22,ܡܪܝܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,23,ܚܝܠܬܢܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,24,ܠܟܘܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,25,ܟܗ̈ܢܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,26,ܕܒܙܝܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,27,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,28,ܫܡܝ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,29,ܘܐܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,30,ܐܡܪܝܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,31,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,32,ܒܡܢܐ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,33,ܐܒܙܢ,,,,Peshitta,PESH
39,Malachi,1,6,Malachi 1:6,34,ܫܡܟ,,,,Peshitta,PESH
39,Malachi,1,7,Malachi 1:7,1,ܥܠ,,,,Peshitta,PESH
39,Malachi,1,7,Malachi 1:7,2,ܕܡܩܪܒܝܢ,,,,Peshitta,PESH
39,Malachi,1,7,Malachi 1:7,3,ܐܢܬܘܢ,,,,Peshitta,PESH
39,Malachi,1,7,Malachi 1:7,4,ܥܠ,,,,Peshitta,PESH
39,Malachi,1,7,Malachi 1:7,5,ܡܕܒܚܝ,,,,Peshitta,PESH
