book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
33,Micah,1,1,Micah 1:1,1,ܦܬܓܡܗ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,2,ܕܡܪܝܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,3,ܕܗܘܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,4,ܥܠ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,5,ܡܝܟܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,6,ܡܐܪܫܝܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,7,ܒܝ̈ܘܡܘܗܝ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,8,ܕܝܘܬܡ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,9,ܘܕܐܚܙ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,10,ܘܕܚܙܩܝܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,11,ܡ̈ܠܟܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,12,ܕܝܗܘܕܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,13,ܕܚܙܐ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,14,ܥܠ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,15,ܫܡܪܝܢ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,16,ܘܥܠ,,,,Peshitta,PESH
33,Micah,1,1,Micah 1:1,17,ܐܘܪܫܠܡ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,1,ܫܡܥܘ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,2,ܟܠܟܘܢ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,3,ܥܡ̈ܡܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,4,ܘܨܘܬܝ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,5,ܐܪܥܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,6,ܒܡܠܐܗ̇,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,7,ܘܢܗܘܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,8,ܒܟܘܢ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,9,ܡܪܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,10,ܡܪ̈ܘܬܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,11,ܣܗܕܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,12,ܡܪܝܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,13,ܡܢ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,14,ܗܝܟܠܐ,,,,Peshitta,PESH
33,Micah,1,2,Micah 1:2,15,ܕܩܘܕܫܗ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,1,ܡܛܠ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,2,ܕܗܐ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,3,ܡܪܝܐ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,4,ܢܦܩ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,5,ܡܢ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,6,ܐܬܪܗ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,7,ܘܢܚܬ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,8,ܘܕܪܟ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,9,ܥܠ,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,10,ܪܘܡܗ̇,,,,Peshitta,PESH
33,Micah,1,3,Micah 1:3,11,ܕܐܪܥܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,1,ܘܢܬܦܫܪܘܢ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,2,ܛܘܪ̈ܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,3,ܬܚܘܬܘܗܝ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,4,ܘܥܘܡ̈ܩܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,5,ܢܬܬܠܚܘܢ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,6,ܐܝܟ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,7,ܫܥܘܬܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,8,ܡܢ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,9,ܩܕܡ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,10,ܢܘܪܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,11,ܘܐܝܟ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,12,ܡܝ̈ܐ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,13,ܕܢܕܪܝܢ,,,,Peshitta,PESH
33,Micah,1,4,Micah 1:4,14,ܒܡܚܬܬܐ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,1,ܗܠܝܢ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,2,ܟܠܗܝܢ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,3,ܡܛܠ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,4,ܥܘܠܗ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,5,ܕܝܥܩܘܒ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,6,ܘܡܛܠ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,7,ܚ̈ܛܗܐ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,8,ܕܒܝܬ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,9,ܐܝܣܪܝܠ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,10,ܡܢܐ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,11,ܗܘ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,12,ܥܘܠܗ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,13,ܕܝܥܩܘܒ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,14,ܐܠܐ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,15,ܐܢ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,16,ܫܡܪܝܢ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,17,ܘܡܢܐ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,18,ܗܝ,,,,Peshitta,PESH
33,Micah,1,5,Micah 1:5,19,ܚܛܝܬܗ,,,,Peshitta,PESH
