book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
34,Nahum,1,1,Nahum 1:1,1,ܡܚܘܬܐ,,,,Peshitta,PESH
34,Nahum,1,1,Nahum 1:1,2,ܕܢܝܢܘܐ,,,,Peshitta,PESH
34,Nahum,1,1,Nahum 1:1,3,ܕܒܣܦܪܐ,,,,Peshitta,PESH
34,Nahum,1,1,Nahum 1:1,4,ܕܚ̈ܙܘܢܐ,,,,Peshitta,PESH
34,Nahum,1,1,Nahum 1:1,5,ܕܢܚܘܡ,,,,Peshitta,PESH
34,Nahum,1,1,Nahum 1:1,6,ܐܠܩܘܫܝܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,1,ܐܠܗܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,2,ܛܢܢܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,3,ܘܬܒܘܥܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,4,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,5,ܬܒܥ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,6,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,7,ܒܪܘܓܙܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,8,ܬܒܥ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,9,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,10,ܡܢ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,11,ܣܢܐ̈ܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,12,ܘܢܛܪ,,,,Peshitta,PESH
34,Nahum,1,2,Nahum 1:2,13,ܠܒ̈ܥܠܕܒܒܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,1,ܢܓܝܪܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,2,ܪܘܚܗ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,3,ܕܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,4,ܘܣܓܝ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,5,ܚܝܠܗ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,6,ܘܡܙܟܝܘ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,7,ܠܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,8,ܡܙܟܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,9,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,10,ܒܥܠܥܠܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,11,ܘܒܟܘܟܝܬܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,12,ܐܘܪܚܗ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,13,ܘܥܢ̈ܢܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,14,ܚܠܐ,,,,Peshitta,PESH
34,Nahum,1,3,Nahum 1:3,15,ܕܪ̈ܓܠܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,1,ܟܐܐ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,2,ܒܝܡܐ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,3,ܘܡܘܒܫ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,4,ܠܗ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,5,ܘܟܠܗܘܢ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,6,ܢܗܪ̈ܘܬܐ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,7,ܡܚܪܒ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,8,ܐܠܬ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,9,ܡܬܢܝܢ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,10,ܘܟܪܡܠܐ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,11,ܘܦܪܥܐ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,12,ܕܠܒܢܢ,,,,Peshitta,PESH
34,Nahum,1,4,Nahum 1:4,13,ܝܒܫ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,1,ܛܘܪ̈ܐ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,2,ܙܥܘ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,3,ܡܢ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,4,ܩܕܡܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,5,ܘܪ̈ܡܬܐ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,6,ܐܬܦܪܩ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,7,ܙܥܬ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,8,ܐܪܥܐ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,9,ܡܢ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,10,ܩܕܡܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,11,ܬܒܝܠ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,12,ܘܟܠܗܘܢ,,,,Peshitta,PESH
34,Nahum,1,5,Nahum 1:5,13,ܥܡܘܪ̈ܝܗ̇,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,1,ܩܕܡ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,2,ܪܘܓܙܗ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,3,ܡܢܘ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,4,ܩܐܡ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,5,ܘܡܢܘ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,6,ܡܣܝܒܪ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,7,ܚܡܬܐ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,8,ܕܪܘܓܙܗ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,9,ܚܡܬܗ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,10,ܝܩܕܐ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,11,ܐܝܟ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,12,ܢܘܪܐ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,13,ܘܛܘܪ̈ܐ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,14,ܐܬܦܫܪܘ,,,,Peshitta,PESH
34,Nahum,1,6,Nahum 1:6,15,ܡܢܗ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,1,ܛܒ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,2,ܗܘ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,3,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,4,ܠܡܣܝܥܘ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,5,ܒܝܘܡܐ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,6,ܕܐܘܠܨܢܐ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,7,ܘܝܕܥ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,8,ܠܐܝܠܝܢ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,9,ܕܬܟܝܠܝܢ,,,,Peshitta,PESH
34,Nahum,1,7,Nahum 1:7,10,ܥܠܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,1,ܘܒܓܪܘܦܝܐ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,2,ܥܒܕ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,3,ܓܡܘܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,4,ܢܥܒܪ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,5,ܠܐܬܪܗ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,6,ܘܠܒ̈ܥܠܕܒܒܘܗܝ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,7,ܢܪܕܘܦ,,,,Peshitta,PESH
34,Nahum,1,8,Nahum 1:8,8,ܚܫܘܟܐ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,1,ܡܢܐ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,2,ܡܬܚܫܒܝܢ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,3,ܐܢܬܘܢ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,4,ܥܠ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,5,ܡܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,6,ܕܓܡܘܪܝܐ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,7,ܥܒܕ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,8,ܘܠܐ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,9,ܢܩܘܡ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,10,ܕܬܪ̈ܬܝܢ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,11,ܙܒ̈ܢܝܢ,,,,Peshitta,PESH
34,Nahum,1,9,Nahum 1:9,12,ܐܘܠܨܢܐ,,,,Peshitta,PESH
34,Nahum,1,10,Nahum 1:10,1,ܡܛܠ,,,,Peshitta,PESH
