book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
16,Nehemiah,1,1,Nehemiah 1:1,1,ܘܗ̣ܘܐ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,2,ܒܝܪܚ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,3,ܟܢܘܢ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,4,ܒܫܢܬ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,5,ܥܣܪܝܢ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,6,ܐܢܐ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,7,ܩܐܡ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,8,ܗ̇ܘܝܬ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,9,ܒܫܘܫܢ,,,,Peshitta,PESH
16,Nehemiah,1,1,Nehemiah 1:1,10,ܒܝܪܬܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,1,ܘܐ̣ܬܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,2,ܚܢܢܝ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,3,ܚܕ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,4,ܡܢ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,5,ܐܚ̈ܝ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,6,ܗܘ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,7,ܘܓܒܪ̈ܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,8,ܝܗܘ̈ܕܝܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,9,ܘܫ̇ܐܠܬ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,10,ܐܢܘܢ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,11,ܥܠ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,12,ܝܗܘ̈ܕܝܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,13,ܐܝܠܝܢ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,14,ܕܝܬܪܘ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,15,ܡܢ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,16,ܫܒܝܐ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,17,ܘܐܦ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,18,ܥܠ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,19,ܐܘܪܫܠܡ,,,,Peshitta,PESH
16,Nehemiah,1,2,Nehemiah 1:2,20,ܡܕܝܢܬܐ,,,,Peshitta,PESH
16,Nehemiah,1,3,Nehemiah 1:3,1,ܘܐܡܪܝܢ,,,,Peshitta,PESH
16,Nehemiah,1,3,Nehemiah 1:3,2,ܠܝ,,,,Peshitta,PESH
