book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,ܘܡܠܠ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,2,ܡܪܝܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,3,ܥܡ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,4,ܡܘܫܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,5,ܒܡܕܒܪܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,6,ܕܣܝܢܝ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,7,ܒܡܫܟܢܙܒܢܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,8,ܒܚܕ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,9,ܒܝܪܚܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,10,ܬܢܝܢܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,11,ܒܫܢܬ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,12,ܬܪ̈ܬܝܢ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,13,ܟܕ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,14,ܢܦܩܘ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,15,ܒܢ̈ܝ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,16,ܐܝܣܪܝܠ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,17,ܡܢ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,18,ܐܪܥܐ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,19,ܕܡܨܪܝܢ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,20,ܘܐܡܪ,,,,Peshitta,PESH
4,Numbers,1,1,Numbers 1:1,21,ܠܗ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,1,ܩܒܠ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,2,ܚܘܫܒܢܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,3,ܕܡܢܝܢܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,4,ܕܪ̈ܫܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,5,ܕܟܠܗ̇,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,6,ܟܢܘܫܬܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,7,ܕܒܢ̈ܝ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,8,ܐܝܣܪܝܠ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,9,ܠܫܪ̈ܒܬܗܘܢ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,10,ܠܒܝܬ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,11,ܐ̈ܒܗܝܗܘܢ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,12,ܒܡܢܝܢܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,13,ܕܫܡ̈ܗܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,14,ܟܠ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,15,ܕܟܪܐ,,,,Peshitta,PESH
4,Numbers,1,2,Numbers 1:2,16,ܠܪ̈ܫܝܗܘܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,1,ܡܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,2,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,3,ܥܣܪ̈ܝܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,4,ܫ̈ܢܝܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,5,ܘܠܥܠ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,6,ܟܠ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,7,ܕܢ̇ܦܩ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,8,ܒܚܝܠܐ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,9,ܒܐܝܣܪܝܠ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,10,ܬܡܢܐ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,11,ܐܢܘܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,12,ܒܚܝܠܗܘܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,13,ܐܢܬ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,14,ܘܐܗܪܘܢ,,,,Peshitta,PESH
4,Numbers,1,3,Numbers 1:3,15,ܐܚܘܟ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,1,ܘܥܡܟܘܢ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,2,ܢܗܘܘܢ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,3,ܓܒܪܐ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,4,ܓܒܪܐ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,5,ܡܢ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,6,ܫܒܛܐ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,7,ܓܒܪ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,8,ܪܫܐ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,9,ܕܒܝܬ,,,,Peshitta,PESH
4,Numbers,1,4,Numbers 1:4,10,ܐܒܘܗܝ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,1,ܘܗܠܝܢ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,2,ܫܡ̈ܗܐ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,3,ܕܓܒܪ̈ܐ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,4,ܕܢܩܘܡܘܢ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,5,ܥܡܟܘܢ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,6,ܕܪܘܒܝܠ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,7,ܐܠܝܨܘܪ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,8,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,5,Numbers 1:5,9,ܫܕܐܘܪ,,,,Peshitta,PESH
4,Numbers,1,6,Numbers 1:6,1,ܕܫܡܥܘܢ,,,,Peshitta,PESH
4,Numbers,1,6,Numbers 1:6,2,ܫܠܡܘܐܝܠ,,,,Peshitta,PESH
4,Numbers,1,6,Numbers 1:6,3,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,6,Numbers 1:6,4,ܨܘܪܝܫܕܝ,,,,Peshitta,PESH
4,Numbers,1,7,Numbers 1:7,1,ܕܝܗܘܕܐ,,,,Peshitta,PESH
4,Numbers,1,7,Numbers 1:7,2,ܢܚܫܘܢ,,,,Peshitta,PESH
4,Numbers,1,7,Numbers 1:7,3,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,7,Numbers 1:7,4,ܥܡܝܢܕܒ,,,,Peshitta,PESH
4,Numbers,1,8,Numbers 1:8,1,ܕܐܝܣܟܪ,,,,Peshitta,PESH
4,Numbers,1,8,Numbers 1:8,2,ܢܬܢܝܐܝܠ,,,,Peshitta,PESH
4,Numbers,1,8,Numbers 1:8,3,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,8,Numbers 1:8,4,ܨܘܥܪ,,,,Peshitta,PESH
4,Numbers,1,9,Numbers 1:9,1,ܕܙܒܘܠܘܢ,,,,Peshitta,PESH
4,Numbers,1,9,Numbers 1:9,2,ܐܠܝܒ,,,,Peshitta,PESH
4,Numbers,1,9,Numbers 1:9,3,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,9,Numbers 1:9,4,ܚܠܘܢ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,1,ܕܒܢ̈ܝ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,2,ܝܘܣܦ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,3,ܕܐܦܪܝܡ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,4,ܐܠܝܫܡܥ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,5,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,6,ܥܡܝܗܘܕ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,7,ܕܡܢܫܐ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,8,ܓܡܠܝܐܝܠ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,9,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,10,Numbers 1:10,10,ܦܪܨܘܪ,,,,Peshitta,PESH
4,Numbers,1,11,Numbers 1:11,1,ܕܒܢܝܡܝܢ,,,,Peshitta,PESH
4,Numbers,1,11,Numbers 1:11,2,ܐܒܝܕܢ,,,,Peshitta,PESH
4,Numbers,1,11,Numbers 1:11,3,ܒܪ,,,,Peshitta,PESH
4,Numbers,1,11,Numbers 1:11,4,ܓܕܥܘܢܝ,,,,Peshitta,PESH
4,Numbers,1,12,Numbers 1:12,1,ܕܕܢ,,,,Peshitta,PESH
4,Numbers,1,12,Numbers 1:12,2,ܐܚܝܥܙܪ,,,,Peshitta,PESH
4,Numbers,1,12,Numbers 1:12,3,ܒܪ,,,,Peshitta,PESH
