book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
31,Obadiah,1,1,Obadiah 1:1,1,ܚܙܘܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,2,ܕܥܘܒܕܝܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,3,ܗܟܢܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,4,ܐܡܪ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,5,ܡܪܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,6,ܡܪ̈ܘܬܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,7,ܠܐܕܘܡ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,8,ܛܒܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,9,ܫܡܥܢ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,10,ܡܢ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,11,ܩܕܡ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,12,ܡܪܝܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,13,ܘܐܝܙܓܕܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,14,ܠܥܡ̈ܡܐ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,15,ܐܫܬܠܚ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,16,ܩܘܡܘ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,17,ܘܢܩܘܡ,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,18,ܥܠܝܗ̇,,,,Peshitta,PESH
31,Obadiah,1,1,Obadiah 1:1,19,ܠܩܪܒܐ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,1,ܗܐ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,2,ܙܥܘܪܐ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,3,ܝܗܒܬܟ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,4,ܒܥܡ̈ܡܐ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,5,ܘܫܝܛ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,6,ܐܢܬ,,,,Peshitta,PESH
31,Obadiah,1,2,Obadiah 1:2,7,ܛܒ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,1,ܫܘܒܗܪܗ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,2,ܕܠܒܟ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,3,ܐܛܥܝܟ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,4,ܕܥܡܪ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,5,ܒܥܘܫܢܐ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,6,ܕܫܩܝܦܐ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,7,ܘܒܪܘܡܐ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,8,ܡܘܬܒܗ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,9,ܘܐܡܪ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,10,ܒܠܒܗ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,11,ܡܢܘ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,12,ܢܚܬܢܝ,,,,Peshitta,PESH
31,Obadiah,1,3,Obadiah 1:3,13,ܠܐܪܥܐ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,1,ܐܢ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,2,ܬܬܪܝܡ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,3,ܐܝܟ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,4,ܢܫܪܐ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,5,ܘܐܢ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,6,ܒܝܬ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,7,ܟܘ̈ܟܒܐ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,8,ܬܣܝܡ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,9,ܩܢܟ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,10,ܡܢ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,11,ܬܡܢ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,12,ܐܚܬܟ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,13,ܐܡܪ,,,,Peshitta,PESH
31,Obadiah,1,4,Obadiah 1:4,14,ܡܪܝܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,1,ܐܢ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,2,ܓܢ̈ܒܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,3,ܐܬܘ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,4,ܥܠܝܟ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,5,ܐܘ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,6,ܒܙܘ̈ܙܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,7,ܒܠܠܝܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,8,ܐܝܟܢܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,9,ܫܬܩܬ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,10,ܥܕܡܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,11,ܕܓܢܒܘ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,12,ܡܣܬܗܘܢ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,13,ܘܐܢ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,14,ܩ̈ܛܘܦܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,15,ܐܬܘ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,16,ܥܠܝܟ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,17,ܠܐ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,18,ܫܒܩܝܢ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,19,ܗܘܘ,,,,Peshitta,PESH
31,Obadiah,1,5,Obadiah 1:5,20,ܒܘܥܪܐ,,,,Peshitta,PESH
31,Obadiah,1,6,Obadiah 1:6,1,ܐܝܟܢܐ,,,,Peshitta,PESH
31,Obadiah,1,6,Obadiah 1:6,2,ܐܬܒܨܝ,,,,Peshitta,PESH
31,Obadiah,1,6,Obadiah 1:6,3,ܥܣܘ,,,,Peshitta,PESH
31,Obadiah,1,6,Obadiah 1:6,4,ܘܢܒܥ,,,,Peshitta,PESH
31,Obadiah,1,6,Obadiah 1:6,5,ܡܛܫܝ̈ܬܗ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,1,ܥܕܡܐ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,2,ܠܬܚܘܡܐ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,3,ܫܕܪܘܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,4,ܟܠܗܘܢ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,5,ܓܒܪ̈ܐ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,6,ܕܩܝܡܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,7,ܐܛܥܝܘܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,8,ܘܐܬܡܨܝܘ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,9,ܚܝܠܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,10,ܓܒܪ̈ܐ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,11,ܕܫܠܡܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,12,ܘܕܠܚܡܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,13,ܣܡܘ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,14,ܟܡܐܢܐ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,15,ܬܚܘܬܝܟ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,16,ܕܠܝܬ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,17,ܒܗ,,,,Peshitta,PESH
31,Obadiah,1,7,Obadiah 1:7,18,ܣܘܟܠܐ,,,,Peshitta,PESH
31,Obadiah,1,8,Obadiah 1:8,1,ܒܗ,,,,Peshitta,PESH
31,Obadiah,1,8,Obadiah 1:8,2,ܒܝܘܡܐ,,,,Peshitta,PESH
31,Obadiah,1,8,Obadiah 1:8,3,ܗ̇ܘ,,,,Peshitta,PESH
