book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
20,Proverbs,1,1,Proverbs 1:1,1,ܡܬ̈ܠܘܗܝ,,,,Peshitta,PESH
20,Proverbs,1,1,Proverbs 1:1,2,ܕܫܠܝܡܘܢ,,,,Peshitta,PESH
20,Proverbs,1,1,Proverbs 1:1,3,ܒܪ,,,,Peshitta,PESH
20,Proverbs,1,1,Proverbs 1:1,4,ܕܘܝܕ,,,,Peshitta,PESH
20,Proverbs,1,1,Proverbs 1:1,5,ܡܠܟܐ,,,,Peshitta,PESH
20,Proverbs,1,1,Proverbs 1:1,6,ܕܐܝܣܪܝܠ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,1,ܠܡܕܥ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,2,ܚܟܡܬܐ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,3,ܘܡܪܕܘܬܐ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,4,ܘܠܡܬܒܝܢܘ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,5,ܒܡ̈ܠܐ,,,,Peshitta,PESH
20,Proverbs,1,2,Proverbs 1:2,6,ܕܣܘܟܠܐ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,1,ܘܠܡܩܒܠܘ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,2,ܡܪܕܘܬܐ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,3,ܘܕܚܠܬܐ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,4,ܘܙܕܝܩܘܬܐ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,5,ܘܕܝܢܐ,,,,Peshitta,PESH
20,Proverbs,1,3,Proverbs 1:3,6,ܘܬܪܝܨܘܬܐ,,,,Peshitta,PESH
20,Proverbs,1,4,Proverbs 1:4,1,ܠܡܬܠ,,,,Peshitta,PESH
20,Proverbs,1,4,Proverbs 1:4,2,ܠܫܒܪ̈ܐ,,,,Peshitta,PESH
20,Proverbs,1,4,Proverbs 1:4,3,ܥܪܝܡܘܬܐ,,,,Peshitta,PESH
20,Proverbs,1,4,Proverbs 1:4,4,ܘ̈ܠܛܠܝܐ,,,,Peshitta,PESH
20,Proverbs,1,4,Proverbs 1:4,5,ܝܕܥܬܐ,,,,Peshitta,PESH
