book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
19,Psalms,1,1,Psalms 1:1,1,ܛܘܒܘܗܝ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,2,ܠܓܒܪܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,3,ܕܒܐܘܪܚܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,4,ܕܥܘ̈ܠܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,5,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,6,ܗܠܟ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,7,ܘܒܪܥܝܢܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,8,ܕܚ̈ܛܝܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,9,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,10,ܩܡ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,11,ܘܥܠ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,12,ܡܘܬܒܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,13,ܕܡܡܝ̈ܩܢܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,14,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,1,Psalms 1:1,15,ܝܬܒ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,1,ܐܠܐ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,2,ܒܢܡܘܣܗ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,3,ܕܡܪܝܐ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,4,ܨܒܝܢܗ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,5,ܘܒܢܡܘܣܗ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,6,ܢܬܗܓܐ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,7,ܐܝܡܡܐ,,,,Peshitta,PESH
19,Psalms,1,2,Psalms 1:2,8,ܘܠܠܝܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,1,ܢܗܘܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,2,ܐܝܟ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,3,ܐܝܠܢܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,4,ܕܢܨܝܒ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,5,ܥܠ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,6,ܬܦܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,7,ܕܡ̈ܝܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,8,ܕܦܐܪ̈ܘܗܝ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,9,ܝܗܒ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,10,ܒܙܒܢܗ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,11,ܘܛܪ̈ܦܘܗܝ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,12,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,13,ܢܬܪ̈ܝܢ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,14,ܟܠ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,15,ܕܥܒܕ,,,,Peshitta,PESH
19,Psalms,1,3,Psalms 1:3,16,ܡܫܠܡ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,1,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,2,ܗܟܢܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,3,ܪ̈ܫܝܥܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,4,ܐܠܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,5,ܐܝܟ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,6,ܥܘܪܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,7,ܕܕܪܝܐ,,,,Peshitta,PESH
19,Psalms,1,4,Psalms 1:4,8,ܪܘܚܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,1,ܡܛܠ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,2,ܗܢܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,3,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,4,ܢܩܘܡܘܢ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,5,ܪ̈ܫܝܥܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,6,ܒܕܝܢܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,7,ܐܦ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,8,ܠܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,9,ܚ̈ܛܝܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,10,ܒܟܢܘܫܬܐ,,,,Peshitta,PESH
19,Psalms,1,5,Psalms 1:5,11,ܕܙܕܝ̈ܩܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,1,ܡܛܠ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,2,ܕܝܕܥ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,3,ܗܘ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,4,ܡܪܝܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,5,ܐܘܪܚܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,6,ܕܙܕܝܩ̈ܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,7,ܘܐܘܪܚܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,8,ܕܪ̈ܫܝܥܐ,,,,Peshitta,PESH
19,Psalms,1,6,Psalms 1:6,9,ܬܐܒܕ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,1,ܠܡܢܐ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,2,ܪܓܫܘ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,3,ܥܡ̈ܡܐ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,4,ܘܐ̈ܡܘܬܐ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,5,ܪ̈ܢܝ,,,,Peshitta,PESH
19,Psalms,2,1,Psalms 2:1,6,ܣܪܝܩܘܬܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,1,ܩܡܘ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,2,ܡ̈ܠܟܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,3,ܕܐܪܥܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,4,ܘܫ̈ܠܝܛܢܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,5,ܘܐܬܡܠܟܘ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,6,ܐܝܟ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,7,ܚܕܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,8,ܥܠ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,9,ܡܪܝܐ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,10,ܘܥܠ,,,,Peshitta,PESH
19,Psalms,2,2,Psalms 2:2,11,ܡܫܝܚܗ,,,,Peshitta,PESH
19,Psalms,2,3,Psalms 2:3,1,ܕܢܦܣܩ,,,,Peshitta,PESH
19,Psalms,2,3,Psalms 2:3,2,ܚܢܩ̈ܝܗܘܢ,,,,Peshitta,PESH
