book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
22,Song of Songs,1,1,Song of Songs 1:1,1,ܬܫܒܚܬ,,,,Peshitta,PESH
22,Song of Songs,1,1,Song of Songs 1:1,2,ܬܫܒ̈ܚܬܐ,,,,Peshitta,PESH
22,Song of Songs,1,1,Song of Songs 1:1,3,ܕܫܠܝܡܘܢ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,1,ܢ̇ܫܩܢܝ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,2,ܡܢ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,3,ܢܘܫ̈ܩܬܐ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,4,ܕܦܘܡܗ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,5,ܡܛܠ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,6,ܕܛܒ̈ܝܢ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,7,ܪ̈ܚܡܝܟ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,8,ܡܢ,,,,Peshitta,PESH
22,Song of Songs,1,2,Song of Songs 1:2,9,ܚܡܪܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,1,ܠܪܝܚ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,2,ܒܣ̈ܡܢܝܟ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,3,ܛܒ̈ܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,4,ܡܫܚܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,5,ܕܡܘܪܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,6,ܫܡܟ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,7,ܡܛܠ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,8,ܗܢܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,9,ܥܠܝܡ̈ܬܐ,,,,Peshitta,PESH
22,Song of Songs,1,3,Song of Songs 1:3,10,ܪܚܡܟ,,,,Peshitta,PESH
22,Song of Songs,1,4,Song of Songs 1:4,1,ܓܕܝܢܝ,,,,Peshitta,PESH
