book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
38,Zechariah,1,1,Zechariah 1:1,1,ܒܝܪܚܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,2,ܕܬܡܢܝܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,3,ܒܚܕ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,4,ܒܝܪܚܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,5,ܒܫܢܬ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,6,ܬܪ̈ܬܝܢ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,7,ܕܕܪܝܘܫ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,8,ܗܘܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,9,ܦܬܓܡܗ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,10,ܕܡܪܝܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,11,ܥܠ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,12,ܙܟܪܝܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,13,ܒܪ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,14,ܒܪܟܝܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,15,ܒܪ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,16,ܥܕܘ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,17,ܢܒܝܐ,,,,Peshitta,PESH
38,Zechariah,1,1,Zechariah 1:1,18,ܠܡܐܡܪ,,,,Peshitta,PESH
38,Zechariah,1,2,Zechariah 1:2,1,ܪܓܙ,,,,Peshitta,PESH
38,Zechariah,1,2,Zechariah 1:2,2,ܡܪܝܐ,,,,Peshitta,PESH
38,Zechariah,1,2,Zechariah 1:2,3,ܥܠ,,,,Peshitta,PESH
38,Zechariah,1,2,Zechariah 1:2,4,ܐ̈ܒܗܝܟܘܢ,,,,Peshitta,PESH
38,Zechariah,1,2,Zechariah 1:2,5,ܪܘܓܙܐ,,,,Peshitta,PESH
38,Zechariah,1,3,Zechariah 1:3,1,ܐܡܪ,,,,Peshitta,PESH
38,Zechariah,1,3,Zechariah 1:3,2,ܠܗܘܢ,,,,Peshitta,PESH
38,Zechariah,1,3,Zechariah 1:3,3,ܗܟܢܐ,,,,Peshitta,PESH
