book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
36,Zephaniah,1,1,Zephaniah 1:1,1,ܦܬܓܡܗ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,2,ܕܡܪܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,3,ܕܗܘܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,4,ܥܠ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,5,ܨܦܢܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,6,ܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,7,ܟܘܫܝ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,8,ܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,9,ܓܕܠܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,10,ܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,11,ܐܡܪܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,12,ܒܪܗ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,13,ܕܚܠܩܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,14,ܒܝ̈ܘܡܬܗ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,15,ܕܝܘܫܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,16,ܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,17,ܐܡܘܢ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,18,ܡܠܟܐ,,,,Peshitta,PESH
36,Zephaniah,1,1,Zephaniah 1:1,19,ܕܝܗܘܕܐ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,1,ܡܥܒܪܘ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,2,ܡܥܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,3,ܐܢܐ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,4,ܟܠ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,5,ܡܢ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,6,ܐ̈ܦܝܗ̇,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,7,ܕܐܪܥܐ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,8,ܐܡܪ,,,,Peshitta,PESH
36,Zephaniah,1,2,Zephaniah 1:2,9,ܡܪܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,1,ܡܥܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,2,ܐܢܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,3,ܒܢܝܢ̈ܫܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,4,ܘܒܥܝܪܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,5,ܡܥܒܪ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,6,ܐܢܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,7,ܦܪܚܬܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,8,ܕܫܡܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,9,ܘܢ̈ܘܢܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,10,ܕܝܡܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,11,ܘܬܘܩܠܬܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,12,ܐܝܬܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,13,ܥܠ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,14,ܚ̈ܛܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,15,ܘܐܘܒܕ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,16,ܒܢܝܢ̈ܫܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,17,ܡܢ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,18,ܐ̈ܦܝܗ̇,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,19,ܕܐܪܥܐ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,20,ܐܡܪ,,,,Peshitta,PESH
36,Zephaniah,1,3,Zephaniah 1:3,21,ܡܪܝܐ,,,,Peshitta,PESH
36,Zephaniah,1,4,Zephaniah 1:4,1,ܘܐܪܝܡ,,,,Peshitta,PESH
36,Zephaniah,1,4,Zephaniah 1:4,2,ܐܝܕܝ,,,,Peshitta,PESH
36,Zephaniah,1,4,Zephaniah 1:4,3,ܥܠ,,,,Peshitta,PESH
36,Zephaniah,1,4,Zephaniah 1:4,4,ܝܗܘܕܐ,,,,Peshitta,PESH
