book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
5,Deuteronomy,1,1,Deuteronomy 1:1,1,אלה,>LH,prde,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,2,ה,H,art,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,3,דברים,DBR/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,4,אשׁר,>CR,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,5,דבר,DBR[,verb.perf,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,6,משׁה,MCH=/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,7,אל,>L,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,8,כל,KL/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,9,ישׂראל,JFR>L/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,10,ב,B,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,11,עבר,<BR/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,12,ה,H,art,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,13,ירדן,JRDN/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,14,ב,B,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,15,מדבר,MDBR/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,16,ב,B,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,17,ערבה,<RBH/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,18,מול,MWL/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,19,סוף,SWP==/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,20,בין,BJN/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,21,פראן,P>RN/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,22,ו,W,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,23,בין,BJN/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,24,תפל,TPL==/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,25,ו,W,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,26,לבן,LBN==/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,27,ו,W,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,28,חצרות,XYRWT/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,29,ו,W,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,1,Deuteronomy 1:1,30,די זהב,DJ_ZHB/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,1,אחד,>XD/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,2,עשׂר,<FR/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,3,יום,JWM/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,4,מ,MN,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,5,חורב,XRB===/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,6,דרך,DRK/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,7,הר,HR/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,8,שׂעיר,F<JR====/,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,9,עד,<D,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,2,Deuteronomy 1:2,10,קדשׁ ברנע,QDC_BRN</,nmpr,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,1,ו,W,conj,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,2,יהי,HJH[,verb.impf,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,3,ב,B,prep,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,4,ארבעים,>RB</,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,5,שׁנה,CNH/,subs,,Chester Beatty 751,SP
5,Deuteronomy,1,3,Deuteronomy 1:3,6,ב,B,prep,,Chester Beatty 751,SP
