book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
2,Exodus,1,1,Exodus 1:1,1,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,2,אלה,>LH,prde,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,3,שׁמות,CM/,subs,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,4,בני,BN/,subs,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,5,ישׂראל,JFR>L/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,6,ה,H,art,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,7,באים,BW>[,verb.ptca,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,8,מצרימה,MYRJM/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,9,את,>T==,prep,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,10,יעקב,J<QB/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,11,אישׁ,>JC/,subs,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,12,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,13,ביתו,BJT/,subs,,Chester Beatty 751,SP
2,Exodus,1,1,Exodus 1:1,14,באו,BW>[,verb.perf,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,1,ראובן,R>WBN/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,2,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,3,שׁמעון,CM<WN/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,4,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,5,לוי,LWJ=/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,6,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,2,Exodus 1:2,7,יהודה,JHWDH/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,1,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,2,ישׂשׂכר,JFFKR/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,3,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,4,זבולן,ZBWLN/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,5,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,3,Exodus 1:3,6,בנימים,BNJMN/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,1,דן,DN/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,2,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,3,נפתלי,NPTLJ/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,4,גד,GD==/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,5,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,4,Exodus 1:4,6,אשׁר,>CR==/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,1,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,2,יהיו,HJH[,verb.impf,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,3,כל,KL/,subs,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,4,נפשׁ,NPC/,subs,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,5,יצאי,JY>[,verb.ptca,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,6,ירך,JRK/,subs,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,7,יעקב,J<QB/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,8,שׁבעים,CB</,subs,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,9,נפשׁ,NPC/,subs,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,10,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,11,יוסף,JWSP/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,12,היה,HJH[,verb.perf,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,13,ב,B,prep,,Chester Beatty 751,SP
2,Exodus,1,5,Exodus 1:5,14,מצרים,MYRJM/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,1,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,2,ימת,MWT[,verb.impf,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,3,יוסף,JWSP/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,4,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,5,כל,KL/,subs,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,6,אחיו,>X/,subs,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,7,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,8,כל,KL/,subs,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,9,ה,H,art,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,10,דור,DWR/,subs,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,11,ה,H,art,,Chester Beatty 751,SP
2,Exodus,1,6,Exodus 1:6,12,הוא,HW>,prps,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,1,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,2,בני,BN/,subs,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,3,ישׂראל,JFR>L/,nmpr,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,4,פרו,PRH[,verb.perf,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,5,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,6,ישׁרצו,CRY[,verb.impf,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,7,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,8,ירבו,RBH[,verb.impf,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,9,ו,W,conj,,Chester Beatty 751,SP
2,Exodus,1,7,Exodus 1:7,10,יעצמו,<YM[,verb.impf,,Chester Beatty 751,SP
