book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
1,Genesis,1,1,Genesis 1:1,1,ב,B,prep,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,2,ראשׁית,R>CJT/,subs,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,3,ברא,BR>[,verb.perf,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,4,אלהים,>LHJM/,subs,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,5,את,>T,prep,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,6,ה,H,art,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,7,שׁמים,CMJM/,subs,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,8,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,9,את,>T,prep,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,10,ה,H,art,,Chester Beatty 751,SP
1,Genesis,1,1,Genesis 1:1,11,ארץ,>RY/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,1,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,2,ה,H,art,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,3,ארץ,>RY/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,4,היתה,HJH[,verb.perf,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,5,תהו,THW/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,6,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,7,בהו,BHW/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,8,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,9,חשׁך,XCK/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,10,על,<L,prep,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,11,פני,PNH/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,12,תהום,THWM/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,13,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,14,רוח,RWX/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,15,אלהים,>LHJM/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,16,מרחפת,RXP[,verb.ptca,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,17,על,<L,prep,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,18,פני,PNH/,subs,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,19,ה,H,art,,Chester Beatty 751,SP
1,Genesis,1,2,Genesis 1:2,20,מים,MJM/,subs,,Chester Beatty 751,SP
1,Genesis,1,3,Genesis 1:3,1,ו,W,conj,,Chester Beatty 751,SP
1,Genesis,1,3,Genesis 1:3,2,יאמר,>MR[,verb.impf,,Chester Beatty 751,SP
1,Genesis,1,3,Genesis 1:3,3,אלהים,>LHJM/,subs,,Chester Beatty 751,SP
1,Genesis,1,3,Genesis 1:3,4,יהי,HJH[,verb.impf,,Chester Beatty 751,SP
