book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
4,Numbers,1,1,Numbers 1:1,1,ו,W,conj,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,2,ידבר,DBR[,verb.impf,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,3,יהוה,JHWH/,nmpr,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,4,אל,>L,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,5,משׁה,MCH=/,nmpr,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,6,ב,B,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,7,מדבר,MDBR/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,8,סיני,SJNJ=/,nmpr,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,9,ב,B,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,10,אהל,>HL/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,11,מועד,MW<D/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,12,ב,B,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,13,אחד,>XD/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,14,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,15,חדשׁ,XDC=/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,16,ה,H,art,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,17,שׁני,CNJ/,adjv,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,18,ב,B,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,19,שׁנה,CNH/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,20,ה,H,art,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,21,שׁנית,CNJ/,adjv,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,22,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,23,צאתם,JY>[,verb.infc,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,24,מ,MN,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,25,ארץ,>RY/,subs,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,26,מצרים,MYRJM/,nmpr,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,27,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,1,Numbers 1:1,28,אמר,>MR[,verb.infc,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,1,שׂאו,NF>[,verb.impv,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,2,את,>T,prep,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,3,ראשׁ,R>C/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,4,עדת,<DH/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,5,בני,BN/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,6,ישׂראל,JFR>L/,nmpr,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,7,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,8,משׁפחותם,MCPXH/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,9,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,10,בית,BJT/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,11,אבותם,>B/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,12,ב,B,prep,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,13,מספר,MSPR/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,14,שׁמות,CM/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,15,כל,KL/,subs,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,16,זכר,ZKR=/,adjv,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,17,ל,L,prep,,Chester Beatty 751,SP
4,Numbers,1,2,Numbers 1:2,18,גלגלותם,GLGLT/,subs,,Chester Beatty 751,SP
4,Numbers,1,3,Numbers 1:3,1,מ,MN,prep,,Chester Beatty 751,SP
4,Numbers,1,3,Numbers 1:3,2,בן,BN/,subs,,Chester Beatty 751,SP
4,Numbers,1,3,Numbers 1:3,3,עשׂרים,<FRJM/,subs,,Chester Beatty 751,SP
4,Numbers,1,3,Numbers 1:3,4,שׁנה,CNH/,subs,,Chester Beatty 751,SP
